snapshot_date,index_code,symbol,weight,source
2010-01-04,000300,000999,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002001,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002007,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002024,1.02,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002028,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002122,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002128,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002142,0.37,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002155,0.15,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002202,0.43,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002242,0.08,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002244,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,002275,0.02,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600000,1.99,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600004,0.08,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600005,0.45,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600006,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600008,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600009,0.31,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600010,0.21,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600011,0.38,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600015,0.65,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600016,2.64,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600017,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600018,0.43,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600019,0.88,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600022,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600026,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600027,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600028,1.02,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600029,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600030,2.57,chenditc/investment_data:ts_index_weight
