top_k,mean_forward_return,median_forward_return,benchmark_excess_return,return_volatility,hit_rate,precision_at_k,positive_period_ratio,mean_sector_count,maximum_sector_weight,dates,excess_t_stat
5,0.006708429154917669,-0.0013836103270400968,0.001974099205238873,0.05123323831742022,0.48940027894002797,0.5354253835425384,0.5278940027894002,5.0,0.2,1434,2.0684846424846035
10,0.004809828556243953,-0.0022292206174664153,7.549860656515817e-05,0.04750749362302133,0.4878661087866109,0.5274058577405858,0.496513249651325,7.0,0.29567642956764295,1434,0.09467152384857284
20,0.005484776984998125,-0.0023429226130479985,0.0007504470353193291,0.04496609612108629,0.4897838214783822,0.529463040446304,0.5292887029288703,7.0,0.35348675034867505,1434,1.1396764629687532
30,0.00543369724787248,-0.0018918138522982797,0.0006993672981936846,0.04368958206757884,0.4907717340771734,0.5287075778707577,0.5285913528591353,7.0,0.3536959553695955,1434,1.162143178849599
50,0.005418455476408252,-0.002264562796252062,0.0006841255267294567,0.04286161948620025,0.4890794979079498,0.5245467224546723,0.5299860529986054,7.0,0.35423988842398885,1434,1.3239864846704836
