top_k,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
5,72,0.863512391714172,0.6803180138842744,0.10316227575644588,0.10316227575644588,0.18319437782989767,0.27713204762847177,0.5863803440857003,0.4031859662558026,0.09507410541762051,0.6132742463850253,1.3495401933484368,-0.23079741588191327,0.6821217604993834,8.594734182292232,0.0014328093855061927,0.21597306471156713,0.24248686818289006,0.25802174585317683,0.36664487134394047,0.1432603513688785,0.013447043642095178,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
10,72,0.4107593757159931,0.2769092481487361,0.09978476132648641,0.09978476132648641,0.133850127567257,0.27713204762847177,0.1336273280875213,-0.00022279947973569136,0.04370558075188469,0.3409801053241722,0.7196242304818796,-0.2132114864648711,0.6597892866147804,8.313345011346232,0.0013858994628678668,0.2895012393395717,0.3981738078353151,0.4134171032556526,0.36505014045329026,0.15664234139637614,0.006282055000729194,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
20,72,0.4252157869110498,0.30206596805487096,0.09027245115663035,0.09027245115663035,0.12314981885617882,0.27713204762847177,0.148083739282578,0.024933920426399192,0.04727508797752766,0.3603234194138145,0.7556684993591763,-0.2252041136074906,0.5968929103428651,7.520850670320099,0.0012537840438420881,0.34618925734525313,0.4088915138190584,0.42003768015326165,0.35560746080137867,0.15544875910359565,0.007434485470787033,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
30,72,0.543458951014774,0.4218471528213985,0.08197041479548442,0.08197041479548442,0.12161179819337553,0.27713204762847177,0.26632690338630227,0.14471510519292674,0.0635288116854964,0.46670254472530437,0.9678408251021727,-0.2266155040311828,0.5419989893636612,6.829187265982131,0.001138477983270617,0.3448260283322468,0.4061832176163598,0.4193491680574619,0.3551347180500145,0.16588485017917995,0.006374132652644411,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
50,72,0.6098737160767911,0.5026566455155466,0.06883821948362548,0.06883821948362548,0.10721707056124452,0.27713204762847177,0.3327416684483193,0.2255245978870748,0.07386690277102836,0.5119017113574814,1.089771053196493,-0.23650908538100257,0.45516755905260964,5.735111244062881,0.0009560863817170205,0.34751220970528585,0.41218686366280327,0.4220453819976609,0.34923075794372554,0.17775634267732562,0.00625955192998269,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
