quantile,mean_return,median_return,excess_return,hit_rate,precision_above_median,volatility,positive_period_ratio,dates,t_stat
1,0.001915238402697659,-0.016778338021918277,-0.0028190915469811367,0.4406639851647778,0.4578395941978458,0.06846598963754198,0.4721059972105997,1434,1.0593086701784162
2,0.007410366759303883,-0.009494430762512412,0.0026760368096250876,0.4703302083847571,0.49688867035403794,0.06129646368809017,0.50418410041841,1434,4.578032364967798
3,0.007678089830245781,-0.006660287619594557,0.002943759880566985,0.4824288956461412,0.5080367015929708,0.052634377558390025,0.5167364016736402,1434,5.524058550428326
4,0.005148863868366947,-0.006157300593276127,0.00041453391868815124,0.4788106420217469,0.5080441150843381,0.047539873776749536,0.49860529986053,1434,4.101360656120723
5,0.004813973571648997,-0.0022861166973157654,7.9643621970201e-05,0.4888824979342962,0.5241115781709007,0.04264308677381368,0.5264993026499303,1434,4.274936255519338
