date,rank_ic,pearson_ic,sample_size
2020-01-02,-0.009644772638942868,-0.07410182535660452,249
2020-01-03,-0.048630154082465314,-0.11202784770381685,250
2020-01-06,0.0033294265062842926,-0.05185114603399264,252
2020-01-07,-0.06659934955102456,-0.09826805328082112,247
2020-01-08,-0.059679558331409595,-0.10641001991654778,250
2020-01-09,-0.08611324770174479,-0.1636358775045756,253
2020-01-10,-0.12807835779420854,-0.1955815483088623,253
2020-01-13,-0.17165665556627557,-0.22572902688723964,253
2020-01-14,-0.14915608583098433,-0.19304640000380452,252
2020-01-15,-0.1666611283834327,-0.21138963429638025,249
2020-01-16,-0.24201010493587252,-0.2599322616216173,249
2020-01-17,-0.25303130335799656,-0.28882408226065165,251
2020-01-20,-0.30282938204430626,-0.35868621709794796,249
2020-01-21,-0.27848074369189907,-0.3212196445224252,251
2020-01-22,-0.20546958935109255,-0.22039029517570258,251
2020-01-23,-0.25890863453495444,-0.2656438887649862,247
2020-02-03,-0.2619634397115237,-0.25922810151531184,247
2020-02-04,-0.20021375825884183,-0.19879884058088876,249
2020-02-05,-0.14952684565829702,-0.17886477395371483,247
2020-02-06,-0.06984848757631557,-0.05736472976050517,241
2020-02-07,-0.07562292907548744,-0.07316136902557156,243
2020-02-10,0.039745243421699133,0.0035906768767744813,247
2020-02-11,-0.1055597810255895,-0.11231870536590738,248
2020-02-12,0.07783270570747582,0.01825149010384161,248
2020-02-13,0.16987769004615003,0.09365060944107173,246
2020-02-14,0.1019215122272682,0.0537347355067336,249
2020-02-17,0.17570898412748406,0.14039743079505934,252
2020-02-18,0.21911971162967178,0.1702233039213713,251
2020-02-19,0.21186416239802694,0.16199042248918386,251
2020-02-20,0.18038087835211816,0.13615860082476705,249
2020-02-21,0.25665897934935983,0.2321212013824977,247
2020-02-24,0.31297007384376213,0.2817416877154099,249
2020-02-25,0.3796014671196212,0.3832274994812017,248
2020-02-26,0.3277820657244827,0.33337046374689416,246
2020-02-27,0.2545448316583471,0.2212678026799085,246
2020-02-28,0.3407291762007791,0.3332554769300893,249
2020-03-02,0.40255392734579426,0.39747298066725106,248
2020-03-03,0.40839890017721325,0.40172980499725824,247
2020-03-04,0.42183574723461015,0.4349838655866827,246
2020-03-05,0.2993986079037773,0.32293321341963965,245
2020-03-06,0.30195150619391786,0.3286593878215106,247
2020-03-09,0.28136235683231814,0.29625208192465036,248
2020-03-10,0.34792330945380756,0.3596160007721195,247
2020-03-11,0.2869546600296724,0.27801717804765425,243
2020-03-12,0.2597427355977415,0.2472230413129586,246
2020-03-13,0.38079104660948787,0.3603686090649306,247
2020-03-16,0.23731737184654494,0.24520526938239687,248
2020-03-17,0.24888592297180645,0.25795576220008914,247
2020-03-18,0.17479905543401372,0.18841228067010374,248
2020-03-19,0.3204449405767878,0.3146832065543292,251
2020-03-20,0.17135447783999952,0.17745661761269338,247
2020-03-23,0.14181379692060683,0.1445832131285824,245
2020-03-24,0.07191743438113983,0.07236900206274993,248
2020-03-25,0.039171314741035856,0.04141995052427311,250
2020-03-26,0.07136347972584905,0.08797940142664966,246
2020-03-27,0.0008910728696874176,-0.0006494764911911002,245
2020-03-30,0.08057043648744994,0.04001999447771909,248
2020-03-31,0.10061808916920402,0.05916699331075679,246
2020-04-01,0.046215532321900205,-0.014254766384644622,250
2020-04-02,-0.042764560000207896,-0.0799816976159321,247
2020-04-03,-0.03558796415673816,-0.06183950350145326,248
2020-04-07,-0.11284769859276286,-0.15951344011253932,249
2020-04-08,-0.09380502288637375,-0.10612427646693341,248
2020-04-09,-0.08841368629178725,-0.10663526524749144,245
2020-04-10,-0.14718357554937211,-0.18517439522268503,245
2020-04-13,-0.07859176027605262,-0.12297121719036262,248
2020-04-14,-0.11993402249053174,-0.1731176245243064,249
2020-04-15,-0.1208572995316885,-0.1512432760556488,248
2020-04-16,-0.12350459694334343,-0.163958227422367,248
2020-04-17,-0.13629081717129432,-0.1888572942220585,249
2020-04-20,-0.06236438505753456,-0.07730778906497462,248
2020-04-21,-0.008344842358670555,-0.04136889655171071,245
2020-04-22,0.014890101306546,-0.026155177300542922,242
2020-04-23,-0.04428130094735633,-0.10571646864697015,246
2020-04-24,-0.02358323901724913,-0.06629956559872267,245
2020-04-27,-0.07758959309582299,-0.10021851065917024,244
2020-04-28,-0.20717628630614485,-0.2427735741957257,247
2020-04-29,-0.2226820633363711,-0.23269318672833514,247
2020-04-30,-0.10041743109549957,-0.13287221019350223,249
2020-05-06,-0.07857838563343093,-0.11007641358936561,248
2020-05-07,-0.03743104347536574,-0.10090800963608224,249
2020-05-08,-0.021599978188440633,-0.09557794151011029,250
2020-05-11,0.0013106132214493057,-0.07288138248180524,250
2020-05-12,-0.01307532769898134,-0.06288182660225303,251
2020-05-13,-0.04229318490211594,-0.09089657775302867,250
2020-05-14,0.030864493831901305,-0.023664942194674157,250
2020-05-15,0.028052806231039003,-0.023581463145152175,250
2020-05-18,0.08426712198823752,0.028489289727278055,251
2020-05-19,-0.02127044406658563,-0.09419511870366161,248
2020-05-20,-0.009623349912432843,-0.09095266010570674,247
2020-05-21,-0.05190189639550738,-0.05985083578857495,250
2020-05-22,-0.08372979366278147,-0.11858835189970789,247
2020-05-25,-0.02569132615708809,-0.053326271658876365,244
2020-05-26,-0.04007255058640925,-0.07903756909134715,245
2020-05-27,-0.010099164043726945,-0.059064726913120216,247
2020-05-28,-0.06783476796539464,-0.082540021101839,231
2020-05-29,-0.028759044261033838,-0.04343836411813231,232
2020-06-01,-0.02417718478087341,-0.029948342777410607,234
2020-06-02,-0.015925017970493272,-0.026248104627324336,234
2020-06-03,0.10808473175380309,0.14807846613254486,234
2020-06-04,0.21129939322184402,0.23610455768379346,233
2020-06-05,0.13239451702720068,0.13404387228626666,231
2020-06-08,0.1412839787118313,0.18949715452118693,232
2020-06-09,0.09847835822348566,0.13571158128519467,231
2020-06-10,0.07983008140124895,0.07938959668898142,230
2020-06-11,0.0012846469403088327,0.04843409359750068,230
2020-06-12,-0.007605800291893713,0.06845948524492798,230
2020-06-15,-0.03489258036438594,0.04017120500912367,230
2020-06-16,0.14282360889537649,0.1650147736127528,230
2020-06-17,0.04798264969218801,0.09208053923190773,227
2020-06-18,0.09519505058328438,0.1494155371566816,230
2020-06-19,0.06893007869635673,0.10297774591467991,230
2020-06-22,0.0481520962753638,0.08392605796476722,232
2020-06-23,0.031028649075296656,0.027967502338545,231
2020-06-24,0.06192260815184396,0.05536442438861128,236
2020-06-29,0.013599978833446992,-0.022595064821351343,234
2020-06-30,0.02973282546688116,0.004673104446753075,253
2020-07-01,-0.04925768543678396,-0.052593431262390994,249
2020-07-02,-0.09936736895643995,-0.06943932457465003,250
2020-07-03,-0.11723438775020398,-0.09994229397008703,250
