dimension,regime,rows,mean_forward_return,hit_rate,dates,pearson_ic_mean,pearson_ic_median,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,rank_ic_t_stat
market_regime,neutral,200979,0.0034421201155221664,0.4550276397036506,804,0.039870512775055475,0.03419720323858918,0.06648011498255921,0.04976332273486614,0.17264059710899615,0.3850781108025662,0.6156716417910447,10.918848920151605
market_regime,risk_off,82185,0.01029325105732345,0.47887084017764797,333,0.0012189114197912341,-0.01851732152334538,0.01871841767637928,0.009249883948071046,0.176857525241466,0.10583896642691776,0.5195195195195195,1.9313798976814398
market_regime,risk_on,74155,0.00499609319947446,0.4237340705279482,297,0.013022329033784094,0.018279376829273202,0.03986497352674974,0.04943005812472765,0.23058345707907377,0.17288739631082417,0.6127946127946128,2.979487436713131
volatility_regime,high_vol,143428,0.0028771414472044815,0.45349583066067994,575,0.0490245172013915,0.040513196911388,0.0767852572117949,0.06243632144393703,0.19637738483093525,0.3910086554920806,0.64,9.376058179485215
volatility_regime,insufficient_history,15324,-0.009657594761971434,0.378360741320804,60,0.05830215045716933,0.056450864408745194,0.08026489603123373,0.07920157109746287,0.20978475084553747,0.3826059601936082,0.6333333333333333,2.9636530239790853
volatility_regime,low_vol,198567,0.008335587406488834,0.4602325663378104,799,0.005810006356368823,-0.0005655896878072403,0.028229944944931782,0.022050003011300494,0.17718162607604263,0.1593277224626897,0.5556946182728411,4.503651095830265
