frequency,period,dates,pearson_ic_mean,pearson_ic_median,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,rank_ic_t_stat
year,2020,243,-0.008796336515574408,-0.026155177300542922,0.01426648420911642,-0.007605800291893713,0.1385441870923938,0.10297425325829251,0.49382716049382713,1.605209746633449
year,2021,243,0.020905358675404218,0.023835116657790454,0.046500550105520295,0.04609403990072238,0.11820983094236141,0.39337295159650265,0.6419753086419753,6.132077446396278
year,2022,242,0.0401764049984444,0.02926863510027321,0.030088593841527123,0.01513245971712187,0.1112969228990336,0.27034524457448755,0.5413223140495868,4.205585025403429
year,2023,242,0.060910138055490066,0.07068818254276549,0.10782504536272094,0.11822767015691019,0.15458504712983734,0.6975127760717875,0.7644628099173554,10.850752306341523
year,2024,242,0.06446555878348877,0.08398654877588006,0.09547283341131214,0.12490315835625054,0.2596598680036136,0.36768420990641293,0.6818181818181818,5.7198239595209355
year,2025,222,-0.030075133029396853,-0.11454061623856453,0.001248770082136381,-0.08578853097782241,0.2636669083502141,0.004736165376042219,0.4189189189189189,0.07056727476789146
quarter,2020Q1,58,0.061937336059150624,0.06576799768675336,0.08297315154400571,0.09059426282832697,0.21274512564775988,0.3900119981192123,0.6379310344827587,2.970242886240542
quarter,2020Q2,59,-0.03541578583379837,-0.05985083578857495,-0.015985712942557777,-0.021599978188440633,0.08500195709904669,-0.18806288099850185,0.3728813559322034,-1.4445383987135625
quarter,2020Q3,66,0.026470726696943718,0.025618540055038795,0.044070851729300864,0.0498304053704792,0.07382990646937992,0.5969241170253782,0.7121212121212122,4.849434451367583
quarter,2020Q4,60,-0.08979019770865831,-0.10081279291820167,-0.05518677128766649,-0.044842535915231435,0.10217959418315695,-0.5400958158900513,0.23333333333333334,-4.183564200596952
quarter,2021Q1,58,0.12673570567620973,0.1328050772804027,0.16385170787232028,0.17805591799906967,0.11874241963263837,1.379891940717055,0.896551724137931,10.5089439311113
quarter,2021Q2,60,-0.05994769388452786,-0.07124037574756081,-0.036967529403361184,-0.07518953294431575,0.0884613979967697,-0.41789447420569936,0.2833333333333333,-3.236996678141557
quarter,2021Q3,64,0.018115979351328356,0.001502660072294074,0.045799925073163314,0.02861058320930451,0.07265332794860369,0.6303899128414742,0.703125,5.043119302731793
quarter,2021Q4,61,0.002733937434257686,0.04091942695756635,0.017755593091247163,0.04365458419081106,0.09277986035354807,0.19137335434206823,0.6885245901639344,1.4946736787273076
quarter,2022Q1,58,-0.011528942750941924,-0.015483678388410468,-0.028342399753612198,-0.04465985115561162,0.0746095315331759,-0.37987639342045,0.3275862068965517,-2.8930524205640404
quarter,2022Q2,59,0.11225023667611111,0.08835173594931722,0.09974151674989737,0.06689072453163725,0.13199902416893375,0.7556231372002199,0.6949152542372882,5.804051447296607
quarter,2022Q3,65,0.011467820500803028,0.018362095062821552,0.015356741039953938,0.03751944888661322,0.0898868848088756,0.17084518027971066,0.5846153846153846,1.3773978784695597
quarter,2022Q4,60,0.05038660654559037,0.021604759834796605,0.03403935399196865,0.017662094084926444,0.1042318305006161,0.3265735028204023,0.55,2.5296274754720782
quarter,2023Q1,59,-0.08802285547068306,-0.04758628498997143,0.011973695054923988,0.030065319412467838,0.14167658779594086,0.08451428172571392,0.5254237288135594,0.6491665157116371
