type,sector,regime,cases,mean_return,mean_size_rank,mean_liquidity_rank,mean_volatility
false_negative,technology,neutral,1081,0.23907683662084783,0.2827198248353377,0.34941268117448854,0.03276415353259513
false_negative,cyclical_manufacturing,neutral,865,0.18927850549090422,0.26623588257977576,0.32005132884559206,0.032403570684430574
false_negative,technology,risk_off,419,0.23523247977660233,0.272805147375334,0.36550881089984066,0.03286307941611374
false_negative,technology,risk_on,390,0.23245114391684255,0.27803325975240295,0.37549126029573393,0.0372796691197483
false_negative,cyclical_manufacturing,risk_off,381,0.18200463510989304,0.24958450886752437,0.30855087003443205,0.027580024684872508
false_negative,cyclical_manufacturing,risk_on,362,0.207273118153335,0.26486534703132175,0.34846727912431164,0.03389798776372297
false_negative,healthcare,neutral,240,0.17783049057598294,0.28291104835988096,0.2987741739350067,0.030318358749646102
false_negative,other,neutral,206,0.21719699097858536,0.33856256729855255,0.323744853532937,0.03161733174880335
false_negative,healthcare,risk_off,157,0.227519522371235,0.28625358078735474,0.3683038042376488,0.030721004693536693
false_negative,finance_real_estate,neutral,95,0.1717226353964467,0.20497253420461553,0.33833021547631215,0.027388893848411557
false_negative,consumer,neutral,88,0.1584477656115667,0.33164911458877394,0.3307434851164423,0.031032930053035705
false_negative,defensive,neutral,85,0.17191098074993383,0.3159464271991741,0.2154576774941616,0.021102614915067257
false_negative,finance_real_estate,risk_off,81,0.1330945694785236,0.2543726902808216,0.33450442296699845,0.020848643767558968
false_negative,other,risk_on,66,0.21515253536555823,0.292046737032374,0.2398732437317243,0.031485761656695366
false_negative,healthcare,risk_on,49,0.27589039822530753,0.38925227423408676,0.3947515801202075,0.02842866795390371
false_negative,consumer,risk_on,38,0.16877919699409685,0.24368005663506284,0.19795582329390266,0.03485655018429555
false_negative,finance_real_estate,risk_on,24,0.22076183692480064,0.1991762431077181,0.2579678264066737,0.03678578521960651
false_negative,consumer,risk_off,23,0.1870351780966394,0.24761240315049904,0.10764087714487128,0.032698224573748554
false_negative,defensive,risk_off,21,0.1335336025057932,0.20402150390963783,0.20367791150379094,0.02495139098233385
false_negative,defensive,risk_on,18,0.13682516284902727,0.40480304293938835,0.19214043298662123,0.02329984105700568
false_negative,other,risk_off,16,0.18156550951022793,0.33697097906409595,0.37212202474270134,0.030898831923588308
false_positive,cyclical_manufacturing,neutral,338,-0.13954934013185574,0.36190344913681716,0.07278179233352672,0.025440900050590996
false_positive,technology,neutral,291,-0.1301545531544145,0.31457480964701257,0.10486004144200958,0.023435703578989425
false_positive,consumer,risk_off,191,-0.1476698277677722,0.3592818190504093,0.3060849734946646,0.02020604099133097
false_positive,finance_real_estate,risk_on,174,-0.04202154717052172,0.41576544489563017,0.2770694634468798,0.008306523504759685
false_positive,consumer,neutral,144,-0.12068909970288681,0.4119863862042642,0.27350215947317336,0.017261993995729055
false_positive,cyclical_manufacturing,risk_off,137,-0.11672878394525596,0.3917236060784701,0.17737805667034315,0.021662606039598714
false_positive,healthcare,neutral,123,-0.1599097953188625,0.3595539047487976,0.08765071073779121,0.02457337030375963
false_positive,technology,risk_off,111,-0.11354421533026846,0.34416979319091495,0.19030459449982515,0.022698083326333062
false_positive,cyclical_manufacturing,risk_on,75,-0.12616405399740263,0.3893832106955598,0.011232651665777355,0.02661350211796607
false_positive,finance_real_estate,neutral,69,-0.030702844802934653,0.3871305417216077,0.2150239233103366,0.010559925081207058
false_positive,healthcare,risk_off,66,-0.10041485707528655,0.30536078361168306,0.0698829074052788,0.02146966177564838
false_positive,technology,risk_on,59,-0.09701382162982729,0.3528990828701181,0.09735213755225003,0.018333792180513883
false_positive,defensive,neutral,57,-0.053754051422800965,0.3417257943239251,0.19237934538044119,0.011696246060469376
false_positive,defensive,risk_off,54,-0.06480888422920844,0.3860726035097684,0.2897795663865561,0.012541873609050078
false_positive,consumer,risk_on,46,-0.11499574436391924,0.4115329756459754,0.31913657398142686,0.016798037061279657
false_positive,defensive,risk_on,41,-0.06344403702070875,0.3439999126305844,0.29047463549698904,0.014696773297379628
false_positive,other,neutral,40,-0.1270622280350299,0.29639778047638354,0.17702925334162675,0.01752190019242025
false_positive,healthcare,risk_on,37,-0.13623375617467257,0.3678159401281933,-0.008419337029969326,0.024888807986497754
false_positive,other,risk_on,22,-0.18431667362762785,0.1779774216916853,0.050125948699071034,0.026695015114529205
false_positive,finance_real_estate,risk_off,19,-0.0415439952345828,0.42249959424822264,0.2544143008359352,0.009230838509312106
false_positive,other,risk_off,12,-0.07426402741660458,0.43742664479524856,0.37849336738194567,0.01278342896945329
