cost_bps_per_one_way_turnover,net_total_return,research_proxy_total_return,net_research_proxy_alpha,mean_period_alpha,cost_drag_sum
0,0.4252157869110498,0.27713204762847177,0.148083739282578,0.0012591809754729417,0.0
10,0.3082093804241308,0.27713204762847177,0.03107733279565905,6.539515478721152e-05,0.08595257908937257
20,0.20067721250320614,0.27713204762847177,-0.07645483512526563,-0.0011283906658985177,0.17190515817874513
50,-0.07234554356735523,0.27713204762847177,-0.349477591195827,-0.004709748127955709,0.42976289544686286
