dimension,bucket,rows,mean_return,hit_rate,dates,pearson_ic_mean,pearson_ic_median,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,rank_ic_t_stat
market_cap,small,119106,0.003878513531809603,0.43232918576729973,1434,0.04113995952613508,0.040877204897741895,0.07509064401894498,0.06820573947928901,0.19686240817794695,0.3814371911526623,0.6534170153417015,14.444336965025995
market_cap,mid,118636,0.006015220949866614,0.46149566741967024,1434,0.04521720729928196,0.04479281906045411,0.058062983336222035,0.059086606080276965,0.20663590297893558,0.28099174683182215,0.6234309623430963,10.640649548003013
market_cap,large,119577,0.00609774685134247,0.4682004064326752,1434,-0.002863227119607351,-0.005067929911852507,0.023479167986722484,0.015143963053247248,0.22141583994474723,0.10604104924282538,0.5244072524407253,4.015582861124982
liquidity,low,119106,0.007299758109415226,0.4381895118633822,1434,0.015709710211846712,0.01321205436692185,0.036856984694721595,0.03495618906577812,0.17248556918771113,0.2136815553225278,0.5829846582984658,8.091734261576326
liquidity,medium,118636,0.004431265049366742,0.4619255537948009,1434,0.013931371181003406,0.009432158161851409,0.03846400193900639,0.03155856413034554,0.20939352012461176,0.1836924175882623,0.5690376569037657,6.956099822219995
liquidity,high,119577,0.004487996088262267,0.46193666006004497,1434,0.04103780220662677,0.02732327640620193,0.06298763025281016,0.047642738977590575,0.22921447188751534,0.2747977897474148,0.5774058577405857,10.406095589057037
volatility,low,119106,0.004701068747030751,0.4719829395664366,1434,-0.004882316651574124,-0.0039604829858025815,0.009643700912406203,0.004204159333057142,0.1736792572805071,0.05552592211302924,0.5111576011157601,2.1026663049576215
volatility,mid,118636,0.003643889496784794,0.44951785292828483,1434,0.014618505417771727,0.0053268905373203106,0.01837617591549421,0.01120987771095457,0.1639863996134987,0.11205914611702687,0.5278940027894002,4.243477311785262
volatility,high,119577,0.007693202435209259,0.44058640039472474,1434,0.04576356220362271,0.046394813094904994,0.05983982053115376,0.05851578357319864,0.1650613467047678,0.3625307906773869,0.6136680613668062,13.728385753149261
