date,symbol,sector,return,score,regime
2022-01-04,000661,healthcare,-0.39223347454547786,0.5865703678516904,neutral
2022-01-05,000661,healthcare,-0.3918768577494691,0.5893405204064887,neutral
2022-01-10,000661,healthcare,-0.3907827327554527,0.5894169335876619,neutral
2022-01-06,000661,healthcare,-0.38091572672524254,0.5894169335876619,neutral
2022-01-07,000661,healthcare,-0.3724996894024102,0.5901655511289982,neutral
2021-06-29,002607,technology,-0.37024530105129017,0.5929792993677642,neutral
2021-07-09,002607,technology,-0.36563045756199797,0.5929792993677642,neutral
2022-01-12,000661,healthcare,-0.36173459956063236,0.5901655511289982,neutral
2021-06-28,002607,technology,-0.35814273215848025,0.5877965627007754,neutral
2021-06-16,002607,technology,-0.3556313254316177,0.5903241485107501,neutral
2021-07-08,002607,technology,-0.3536722370453588,0.5478062624911648,neutral
2022-01-13,000661,healthcare,-0.3513258079974442,0.5901655511289982,neutral
2021-09-22,601600,cyclical_manufacturing,-0.3499520613614573,0.5552992036081184,neutral
2021-06-25,002607,technology,-0.3477281033012547,0.5478062624911648,neutral
2021-07-05,002607,technology,-0.34532815375178894,0.5478062624911648,neutral
2022-01-11,000661,healthcare,-0.3400162000043784,0.5901655511289982,neutral
2021-07-06,002607,technology,-0.33634558773190937,0.5705785849398737,neutral
2021-02-09,601100,cyclical_manufacturing,-0.33212518122281653,0.5681493724348504,neutral
2022-01-14,000661,healthcare,-0.33009805205656406,0.5858217503103541,risk_off
2021-02-02,002594,cyclical_manufacturing,-0.32738758825715353,0.5580642829621381,neutral
2021-07-02,002607,technology,-0.32180069462997596,0.5478062624911648,neutral
2021-02-10,601100,cyclical_manufacturing,-0.32131316098707396,0.5741542727254774,neutral
2021-01-11,601919,cyclical_manufacturing,-0.3211678832116789,0.5531947235806092,risk_on
2022-03-25,002466,cyclical_manufacturing,-0.3166552726029739,0.5655784880067529,risk_off
2022-01-17,000661,healthcare,-0.31368197389922525,0.5894169335876619,neutral
