model,dates,pearson_ic_mean,pearson_ic_median,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,rank_ic_t_stat
lightgbm,1434,0.02533432461434377,0.018646081384198022,0.04987666852835187,0.04172509679210889,0.1879673650065532,0.26534749011677106,0.592747559274756,10.048229823862561
ridge,1434,0.02180023868051128,0.014350105179022042,0.04828066326890036,0.037401916936376796,0.20012182273391005,0.24125636379544801,0.5801952580195258,9.135942415808204
ensemble,1434,0.022278134403818744,0.01474414502282237,0.05102686222567364,0.037409657455744816,0.1996001669014042,0.2556453885676318,0.592747559274756,9.680828775157325
