month,score_mean,score_std,score_p01,score_p99
2020-01,0.49801102127460106,0.05000418063496373,0.3784135571693153,0.6140174199008851
2020-02,0.5008453156906586,0.0521579061673603,0.3699357207662633,0.6188989261856068
2020-03,0.5014719993227484,0.049723528208347294,0.37769808593010484,0.6157280023523416
2020-04,0.49762107813380135,0.047504057748202426,0.3797517669745117,0.6092301456739323
2020-05,0.4987918912158676,0.05324665477664698,0.35484560225280676,0.603560815024233
2020-06,0.5001113207021685,0.05442947188531622,0.3632933466815283,0.6129467392917839
2020-07,0.4976492770633033,0.051317046624660176,0.3830691607117288,0.6121606959867208
2020-08,0.49826864140550065,0.052527456665744036,0.3731056739805745,0.6127755264337085
2020-09,0.49268796543019855,0.045386877267837376,0.38029820776135864,0.5847736911583453
2020-10,0.4915643206958149,0.04702347737483025,0.36860277578424316,0.5902788369326412
2020-11,0.49357392765682134,0.04534459069171429,0.38703172081619336,0.5980046018937435
2020-12,0.4929055885012046,0.04606736109535909,0.36219340056017996,0.596429976310885
2021-01,0.4931967013446526,0.04198827769069882,0.382005664791615,0.5784621257760488
2021-02,0.4946547771147802,0.04005167486253155,0.3866492947769316,0.5765732913107978
2021-03,0.4997578453345971,0.03953700618564001,0.38886588857594073,0.5806185051777965
2021-04,0.49689589882535234,0.04061182483894829,0.38116565665509905,0.5791761711387795
2021-05,0.491106672223654,0.04385893589437506,0.3663497448405985,0.571332824382769
2021-06,0.49147173512112396,0.044367389215658574,0.3772515800040625,0.5749428521980114
2021-07,0.4886672498515475,0.043566969334695956,0.3784012268788538,0.5716435535010911
2021-08,0.4898077642845833,0.04247216193884387,0.3817251880149467,0.5715931591484551
2021-09,0.49393505278625355,0.041234301752494304,0.382358128977693,0.5728014857719055
2021-10,0.48962580050860505,0.0441533039620112,0.37795537278941516,0.5780174913016525
2021-11,0.4946993873195118,0.04201375753847315,0.3871565483498782,0.5774231372880588
2021-12,0.49774433914095795,0.04319781342033882,0.38929455191333073,0.5789992791541492
2022-01,0.5059048108134463,0.04295697266358012,0.3907175826144827,0.6074880724419299
2022-02,0.5049655574834017,0.04285560788491211,0.38691434494556387,0.6082547455780359
2022-03,0.5072585399649583,0.04042595604071674,0.3969680417146303,0.5999777116318767
2022-04,0.5047486691732254,0.04271995384295677,0.39762920313457867,0.6126701051393728
2022-05,0.5109988035513845,0.038915660639205006,0.4233867427126927,0.6049905983428949
2022-06,0.509614393876119,0.043496419464117496,0.3875643149205563,0.6062742895137253
2022-07,0.5098205281964132,0.043478013785112554,0.39580210895945017,0.6063059729408411
2022-08,0.5097495421640911,0.04071992663867489,0.40971713994821535,0.6035455081838264
2022-09,0.5060099137252058,0.040322119920650955,0.4022495228166798,0.6096274083719874
2022-10,0.5055309861501603,0.04137797049370665,0.38339398637450356,0.6038730911100475
2022-11,0.5023414150323587,0.042469444909452606,0.3909788123867654,0.5911719276522702
2022-12,0.501312757929585,0.04336260092087027,0.39130461990925625,0.6037635143910607
2023-01,0.4902550370554654,0.040218335849125215,0.3811862427328488,0.5703334345367411
2023-02,0.494261287117503,0.04462033615158051,0.36300430090180186,0.5727893266187618
2023-03,0.49414550441532235,0.04535244679262709,0.3561028543697585,0.5750327110647434
2023-04,0.49272843583825326,0.04821559695111137,0.3553866695091919,0.5793352819690368
2023-05,0.4978311952924354,0.04169738609160833,0.3720818573162336,0.6099775620840348
2023-06,0.49503648507089126,0.044985151678839375,0.36529898590192733,0.5986514562739272
2023-07,0.49575866137858127,0.042669146677178534,0.3728348080376065,0.5918562411464056
2023-08,0.49674799055963725,0.040025739149036385,0.3909245325050742,0.5841229917218654
2023-09,0.4971142441009349,0.03657364759559875,0.4017124342059889,0.5701964605764777
2023-10,0.49624116112172006,0.041582410522513574,0.3698676712489744,0.5841419199060013
2023-11,0.49947891491810237,0.04579301373844427,0.3564516583365068,0.5883600307132358
2023-12,0.5001596378938694,0.039423744056538285,0.3739632905845239,0.5840089557155481
2024-01,0.49332534260981925,0.04371503051634505,0.3694253706506057,0.5848589023363995
2024-02,0.5000415325681221,0.0428360545939214,0.395922698285323,0.5944774002105829
2024-03,0.503002201775189,0.051053483254706405,0.3739339113642203,0.599741768310966
2024-04,0.5033767960562424,0.04353942471214863,0.39248185588901385,0.5929027130510749
2024-05,0.4985179182481794,0.04530396311188478,0.36771729183351914,0.5886335441932629
2024-06,0.49403593801376866,0.04682010834537792,0.3625131359283598,0.5873082916210827
2024-07,0.4920057123099979,0.044223541691910395,0.354147709305976,0.5924171048707458
2024-08,0.496120710344898,0.044614295646150326,0.3579872551582415,0.5925192124567091
2024-09,0.4982603759031745,0.042352656024083474,0.38234370453178973,0.5869445814352583
2024-10,0.4884680933039874,0.056314092626032514,0.3520844736140524,0.5859169809856745
2024-11,0.4939059507159034,0.05280516635979584,0.3508724345570493,0.5915472384117754
2024-12,0.4995758252895132,0.044371783588785914,0.37290220228972043,0.5914130043544411
2025-01,0.49699201659843306,0.04194666474281047,0.38082599893358154,0.582096297592244
2025-02,0.4963101354595771,0.04573885338374186,0.3642565034036788,0.5836161728884027
2025-03,0.4990170829048437,0.042067450661698154,0.3862984609452054,0.5781332753943536
2025-04,0.5006781322887442,0.039445305160512784,0.40084656797723045,0.579099925475898
2025-05,0.5010071068148794,0.040338691520616185,0.3832318703947235,0.5880332098355477
2025-06,0.5000325184684054,0.04265531672461623,0.3798894521152804,0.5880778544891165
2025-07,0.4965263836115783,0.04613855397815174,0.364556145959683,0.5787914216870504
2025-08,0.4949065002615416,0.0467749955534707,0.3744290529531151,0.5812303008457858
2025-09,0.4917666721301886,0.049623835724869156,0.36199612878647225,0.5767394725931343
2025-10,0.49426876245659623,0.04605149419317293,0.37164657283130054,0.5771688631685642
2025-11,0.49655619405725426,0.04621182410102487,0.36625021254859086,0.5786999178008921
2025-12,0.49767235575431923,0.04477688110501315,0.38106073677995206,0.5764424387158498
