test_year,feature,feature_group,gain_importance,split_importance
2020,profit_growth_change_rank,fundamental,0.08031265281229728,0.075
2020,short_reversal,price_behavior,0.00042908533258292404,0.0017857142857142857
2020,gross_margin_change_rank,fundamental,0.06095575541856733,0.05892857142857143
2020,deducted_profit_growth_change_rank,fundamental,0.03089806079423477,0.04375
2020,liquidity,liquidity,0.06907436403511812,0.07232142857142858
2020,industry_momentum,industry_technology,0.008971726241116144,0.015178571428571428
2020,revenue_growth_change_rank,fundamental,0.04791030287146779,0.06517857142857143
2020,deducted_profit_growth_rank,fundamental,0.09241592193806145,0.05357142857142857
2020,profit_growth_rank,fundamental,0.031020447894909528,0.026785714285714284
2020,gross_margin_yoy_change_rank,fundamental,0.02497529333959309,0.039285714285714285
2020,roe_change_rank,fundamental,0.019968226831656884,0.030357142857142857
2020,roic_change_rank,fundamental,0.03058138937360121,0.048214285714285716
2020,gross_margin_yoy_rank,fundamental,0.04255798414703497,0.06607142857142857
2020,volatility_60_rank,risk,0.19363978643170987,0.11607142857142858
2020,intraday_strength_20_rank,price_behavior,0.03552243948123082,0.03482142857142857
2020,growth,fundamental,0.04403291041480035,0.044642857142857144
2020,momentum,price_behavior,0.0635915401497389,0.07053571428571428
2020,low_volatility,risk,0.0363070353042854,0.030357142857142857
2020,operating_cycle_change_rank,fundamental,0.02278233059774059,0.03214285714285714
2020,revenue_growth_rank,fundamental,0.0640527465902526,0.075
2021,short_reversal,price_behavior,0.0025651035390477674,0.00625
2021,profit_growth_change_rank,fundamental,0.06859677709752476,0.05267857142857143
2021,gross_margin_change_rank,fundamental,0.05962869327525693,0.04732142857142857
2021,industry_momentum,industry_technology,0.01795485559036049,0.025
2021,deducted_profit_growth_change_rank,fundamental,0.02693776436704689,0.033035714285714286
2021,gross_margin_yoy_change_rank,fundamental,0.037886950102332013,0.05357142857142857
2021,liquidity,liquidity,0.07404255439800929,0.07857142857142857
2021,revenue_growth_change_rank,fundamental,0.06473767576311776,0.06964285714285715
2021,intraday_strength_20_rank,price_behavior,0.030704033465806174,0.02857142857142857
2021,deducted_profit_growth_rank,fundamental,0.08106376670700133,0.04196428571428571
2021,momentum,price_behavior,0.04998414920227572,0.054464285714285715
2021,profit_growth_rank,fundamental,0.029608145320139903,0.0375
2021,growth,fundamental,0.05591008399644564,0.05625
2021,roic_change_rank,fundamental,0.03910111045773816,0.05267857142857143
2021,gross_margin_yoy_rank,fundamental,0.05477038036315559,0.06607142857142857
2021,roe_change_rank,fundamental,0.03141329710929643,0.04732142857142857
2021,revenue_growth_rank,fundamental,0.06432571032859656,0.06607142857142857
2021,operating_cycle_change_rank,fundamental,0.027851045422828704,0.04285714285714286
2021,volatility_60_rank,risk,0.14660805103999253,0.10625
2021,low_volatility,risk,0.03630985245402738,0.033928571428571426
2022,short_reversal,price_behavior,0.002154047641422458,0.004464285714285714
2022,gross_margin_change_rank,fundamental,0.056412879701652326,0.05625
2022,profit_growth_change_rank,fundamental,0.054412478512672634,0.05357142857142857
2022,industry_momentum,industry_technology,0.00806555521865317,0.011607142857142858
2022,revenue_growth_change_rank,fundamental,0.09001690462810238,0.08839285714285715
2022,deducted_profit_growth_change_rank,fundamental,0.05186547522616176,0.05892857142857143
2022,gross_margin_yoy_change_rank,fundamental,0.051214367471918015,0.059821428571428574
2022,intraday_strength_20_rank,price_behavior,0.04330020833006935,0.0375
2022,liquidity,liquidity,0.0738700127432426,0.07767857142857143
2022,momentum,price_behavior,0.05085145943380139,0.04375
2022,deducted_profit_growth_rank,fundamental,0.07261511747433076,0.045535714285714284
2022,profit_growth_rank,fundamental,0.027914692228528083,0.026785714285714284
2022,growth,fundamental,0.04147472364163478,0.03660714285714286
2022,roe_change_rank,fundamental,0.02031562677198416,0.029464285714285714
2022,roic_change_rank,fundamental,0.04769317874050376,0.06428571428571428
2022,revenue_growth_rank,fundamental,0.09936757774347327,0.0875
2022,gross_margin_yoy_rank,fundamental,0.051390280195577155,0.0625
2022,volume_trend_60_rank,liquidity,0.04724722484427389,0.044642857142857144
2022,operating_cycle_change_rank,fundamental,0.02807861298859178,0.03571428571428571
2022,quality,fundamental,0.08173957646340628,0.075
2023,short_reversal,price_behavior,0.0,0.0
2023,gross_margin_yoy_change_rank,fundamental,0.04422844665539597,0.05357142857142857
2023,industry_momentum,industry_technology,0.005866591651917173,0.008035714285714285
2023,gross_margin_change_rank,fundamental,0.045972788291673616,0.055357142857142855
2023,intraday_strength_20_rank,price_behavior,0.032949261342131886,0.022321428571428572
2023,profit_growth_change_rank,fundamental,0.04063210242365909,0.055357142857142855
2023,liquidity,liquidity,0.07466408267770297,0.07321428571428572
2023,revenue_growth_change_rank,fundamental,0.05663068065393096,0.07053571428571428
