score,policy,top_k,buffer_exit_rank,name_retention,rank_persistence,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top10,10,,0.4253521126760564,0.9575677505756262,72,0.4107593757159933,0.2769092481487361,0.0997847613264864,0.0997847613264864,0.13385012756725723,0.27713204762847177,0.13362732808752154,-0.00022279947973569136,0.04370558075188469,0.3409801053241718,0.719624230481879,-0.21321148646487098,0.6597892866147804,8.313345011346232,0.0013858994628678665,0.2895012393395717,0.3981738078353151,0.41341710325565273,0.36505014045329026,0.15664234139637614,0.006282055000729194,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top20,20,,0.4795774647887325,0.9575677505756262,72,0.42521578691104644,0.30206596805487207,0.09027245115663035,0.09027245115663035,0.12314981885617438,0.27713204762847177,0.14808373928257468,0.024933920426400302,0.047275087977527885,0.36032341941381474,0.7556684993591776,-0.22520411360749037,0.5968929103428651,7.520850670320099,0.0012537840438420881,0.3461892573452532,0.4088915138190585,0.42003768015326176,0.35560746080137867,0.15544875910359565,0.007434485470787033,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top30,30,,0.5159624413145539,0.9575677505756262,72,0.5434589510147776,0.42184715282139407,0.08197041479548442,0.08197041479548442,0.12161179819338352,0.27713204762847177,0.2663269033863058,0.1447151051929223,0.06352881168549573,0.4667025447253008,0.9678408251021655,-0.22661550403118236,0.5419989893636612,6.829187265982131,0.001138477983270617,0.3448260283322468,0.4061832176163598,0.41934916805746214,0.3551347180500145,0.16588485017917995,0.006374132652644411,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top50,50,,0.58,0.9575677505756262,72,0.6098737160767953,0.5026566455155472,0.06883821948362549,0.06883821948362549,0.10721707056124807,0.27713204762847177,0.33274166844832354,0.22552459788707546,0.07386690277102836,0.511901711357482,1.0897710531965001,-0.2365090853810029,0.45516755905260964,5.735111244062881,0.0009560863817170207,0.34751220970528585,0.4121868636628034,0.42204538199766084,0.34923075794372554,0.17775634267732562,0.00625955192998269,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r0_gen2_exact_reference,r0_gen2_exact_reference_buffer20_30,20,30.0,0.4795774647887325,0.9575677505756262,72,0.42055584066279494,0.33852951781782004,0.05926034314760047,0.05926034314760047,0.08202632284497491,0.27713204762847177,0.14342379303432318,0.06139747018934827,0.05234924000316554,0.37239185237939704,0.6711114722353614,-0.17547768303656386,0.39183765252522207,4.937154421817798,0.0008230603214944509,0.4160609601907735,0.7657899704323058,0.9999999999999999,0.37155250205465346,0.17932646494230198,0.00756993046376989,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top10,10,,0.3619718309859155,0.9788679222863121,72,0.30705274947543026,0.1804362072258454,0.10160553168930296,0.10160553168930296,0.12661654224958485,0.27713204762847177,0.029920701846958497,-0.09669584040262635,0.02945517556083388,0.26140967974837603,0.4655265217848527,-0.22655602699208532,0.6718284081109831,8.465037942198387,0.0014111879401292077,0.2886892872206044,0.4036324254290509,0.41963026361170597,0.2940101081929464,0.07881146081078323,0.0019751385145823377,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top20,20,,0.44859154929577466,0.9788679222863121,72,0.47500749952871435,0.34575839562319444,0.09149101051138706,0.09149101051138706,0.1292491039055199,0.27713204762847177,0.19787545190024258,0.06862634799472267,0.05334161420354189,0.41827956452158277,0.7356813710782945,-0.159867983489264,0.6049501505208942,7.6223718965632665,0.0012707084793248202,0.347306002079505,0.4089881382022387,0.4200766687939512,0.30088483527436066,0.09293362000795868,0.0040926060895371645,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top30,30,,0.4995305164319248,0.9788679222863121,72,0.625377505324574,0.49363262106942307,0.08436378711717932,0.08436378711717932,0.13174488425515096,0.27713204762847177,0.34824545769610227,0.2165005734409513,0.0727355254666282,0.531782411770982,0.9667505850792368,-0.1981817351663845,0.5578242140899472,7.028585097533335,0.0011717192655163794,0.3466623361745435,0.40470509860772413,0.4104674363732246,0.3010640264586796,0.10523854957363003,0.005649750895089337,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top50,50,,0.5588732394366198,0.9788679222863121,72,0.4243376231136966,0.3281076605024642,0.06998181842052345,0.06998181842052345,0.0962299626112324,0.27713204762847177,0.14720557548522484,0.05097561287399244,0.05091072518255113,0.39937154279046677,0.7411499553106496,-0.21267439462678617,0.4627291532137456,5.830387330493195,0.0009719697002850479,0.34832716243312495,0.40932612667908774,0.4194840651737078,0.3049530606039163,0.11976274867424265,0.0018412608224496274,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_buffer20_30,20,30.0,0.44859154929577466,0.9788679222863121,72,0.3791990913081569,0.2928241033198302,0.06459386422125814,0.06459386422125814,0.08637498798832666,0.27713204762847177,0.10206704367968511,0.015692055691358453,0.045970418086933584,0.39444371236250825,0.5988773423797996,-0.12276409899690566,0.4271034441481668,5.381503396266901,0.0008971370030730297,0.4365769615939628,0.6329165881964748,0.7113514455365421,0.29857029520932515,0.07939176859462156,0.0030270364555599507,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
