experiment_id,score,slice,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,risk_off,82185,333,0.01871841767637928,0.009249883948071046,0.176857525241466,0.10583896642691776,0.5195195195195195,0.0012189114197912341,1.9313798976814398
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,technology,70747,1434,0.00748895017434539,0.0008628323706113188,0.22514894304333707,0.03326220444616479,0.5034867503486751,-0.007017155595433471,1.2595795595288446
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,large_cap,120034,1434,0.02356499037773565,0.013020514521839222,0.22143662696404948,0.10641866569599372,0.5216178521617852,-0.0028479544614876313,4.029882513648688
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,low_volatility,118636,1434,0.009796408246183944,0.003869560206743769,0.17357766929725416,0.05643818289441057,0.5125523012552301,-0.004716498273020517,2.1372119717984206
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,risk_off,82185,333,0.023793019553612235,0.0423890893773978,0.1980558993245735,0.12013284953769691,0.5915915915915916,0.0041212572102995336,2.19221878747757
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,technology,70747,1434,0.03782627094220592,0.0567135966319923,0.23251293901916753,0.1626845847881509,0.5892608089260809,0.023593777755045276,6.1605711666299126
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,large_cap,120034,1434,0.038704852434831946,0.05700401004893131,0.26022615161254264,0.14873544490048252,0.5822873082287309,0.00605369401588917,5.632342452746776
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,low_volatility,118636,1434,0.03391092363381514,0.0360725716655097,0.16574719181776204,0.20459425744660567,0.5822873082287309,0.023493137091410814,7.747614716692066
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,risk_off,82185,333,0.008759648395757758,0.04155976915546308,0.2028264166251434,0.04318790688861319,0.5885885885885885,-0.01500289892297793,0.788105345352194
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,technology,70747,1434,0.02428008455546497,0.034336734693877546,0.21305226809720168,0.11396304189724735,0.5585774058577406,0.01784742754927512,4.315574403609716
