experiment_id,score,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat,train_rank_ic,train_oos_gap,worst_year_rank_ic
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,1434,0.04987666852835187,0.04172509679210889,0.1879673650065532,0.26534749011677106,0.592747559274756,0.02533432461434377,10.048229823862561,0.169365856097512,0.11948918756916013,0.001248770082136381
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,1434,0.06410218716264009,0.07094286103415168,0.22334969358241177,0.287003694227087,0.6171548117154811,0.028601795456500042,10.868311129011405,0.08552597993981714,0.021423792777177056,-0.016105259928737296
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,1434,0.06233297628872003,0.07634311749948186,0.22898261189703495,0.2722170726078925,0.6359832635983264,0.027621368641176477,10.30836849573918,0.09648176397529755,0.03414878768657752,-0.012745576351213178
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,1434,0.06668679503468888,0.07238637947113992,0.21000586530495935,0.31754729772832707,0.6234309623430963,0.03210524302008849,12.024942184742637,0.08892687381216445,0.022240078777475566,-0.015954778727735038
A3_PRICE_PATH_SHAPE,a3_price_path_shape,1434,0.06140952752322943,0.0669403099476141,0.2168442521627313,0.2831964735553355,0.6234309623430963,0.026914399363102682,10.72413856388526,0.09019036403968422,0.028780836516454793,-0.010100702896708768
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,1434,0.011302768266538376,0.008766277548396912,0.12327305917986123,0.09168887623732208,0.5264993026499303,0.014303808587726731,3.4720920115689173,0.05286499477714925,0.04156222651061088,-0.015293378303390002
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,1434,0.06116757973036847,0.06804016702908292,0.22487644447951338,0.27200527770680283,0.6185495118549512,0.027337595338823902,10.300348205663193,0.0820762903579362,0.020908710627567738,-0.019862133174520836
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,1434,0.06714472195924558,0.07206664991732506,0.2519127718199317,0.26653957032095577,0.5983263598326359,0.028183203303289234,10.09337174645943,0.08250672862120832,0.015362006661962746,-0.02734684151151555
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,1434,0.05327905047015863,0.05644315847667742,0.17549751333609945,0.30358863471827463,0.6359832635983264,0.03139725440452152,11.496352847428264,0.07890365842223694,0.025624607952078313,-0.009848153063054668
B5_ROBUST_WINSORIZED,b5_robust_winsorized,1434,0.02328634187496496,0.010563839878580913,0.14344431803295618,0.16233715070969174,0.5348675034867504,0.01613146210514449,6.147414466080519,0.06432947430058529,0.04104313242562033,-0.006127266593896361
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,1434,0.06892458997084355,0.0672932646790497,0.24269588765569194,0.28399570605261165,0.604602510460251,0.030213155550131522,10.75440405391042,0.08523007274026728,0.01630548276942373,-0.026237226094118365
C2_DEV_SELECTED_SIGNAL_LABEL_LGBM,c2_dev_selected_signal_label_lgbm,1434,0.06408105666645178,0.06034405643364986,0.20914193148276633,0.3063998511065304,0.6220362622036262,0.028518085952627285,11.602808530658477,0.13641901282541022,0.07233795615895844,-0.017184298600220662
