experiment_id,score,year,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,2020,243,0.01426648420911642,-0.007605800291893713,0.1385441870923938,0.10297425325829251,0.49382716049382713,-0.008796336515574408,1.6052097466334487
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,2021,243,0.046500550105520295,0.04609403990072238,0.11820983094236141,0.39337295159650265,0.6419753086419753,0.020905358675404218,6.132077446396278
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,2022,242,0.030088593841527123,0.01513245971712187,0.1112969228990336,0.27034524457448755,0.5413223140495868,0.0401764049984444,4.205585025403429
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,2023,242,0.10782504536272094,0.11822767015691019,0.15458504712983734,0.6975127760717875,0.7644628099173554,0.060910138055490066,10.850752306341525
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,2024,242,0.09547283341131214,0.12490315835625054,0.2596598680036136,0.36768420990641293,0.6818181818181818,0.06446555878348877,5.7198239595209355
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,2025,222,0.001248770082136381,-0.08578853097782241,0.2636669083502141,0.004736165376042219,0.4189189189189189,-0.030075133029396853,0.07056727476789146
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,2020,243,-0.01582684262887384,-0.01019412861834555,0.1670085220354641,-0.09476667678978097,0.4609053497942387,-0.04475995511445701,-1.4772662915792303
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,2021,243,0.07410017381235416,0.03383286132578121,0.17444698566895345,0.4247718785635736,0.5596707818930041,0.043264038739937574,6.621538277687281
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,2022,242,0.08857501555902424,0.11247267064214786,0.16845899607761242,0.5257956987836729,0.743801652892562,0.07724310278464491,8.179461490830398
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,2023,242,0.1299522296621269,0.12885378235179892,0.18837970119341713,0.6898419991053052,0.7603305785123967,0.07962414575352147,10.731423021322202
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,2024,242,0.11757806311694742,0.16475523324998004,0.2692928973962758,0.4366177654657054,0.756198347107438,0.0791284007935937,6.792178420440993
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,2025,222,-0.016105259928737296,-0.08336427191157539,0.2978901295279033,-0.054064429574289474,0.40540540540540543,-0.07086695844439934,-0.8055418580265795
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,2020,243,0.015163434539907157,0.012676813262960584,0.17365983409523472,0.08731687795804043,0.5390946502057613,-0.019318607702289527,1.3611354208345532
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,2021,243,0.07325465297377227,0.0638624174115818,0.14389764403841848,0.5090747208773925,0.654320987654321,0.04296058509720255,7.935689532677296
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,2022,242,0.028993211039374567,0.058771862946649246,0.18726723459346173,0.15482265812444929,0.6570247933884298,0.014389310967881897,2.4084753317047416
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,2023,242,0.15793828910989235,0.17598819461984963,0.1913909388385204,0.8252129911079407,0.8016528925619835,0.10649857877896246,12.837301442584497
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,2024,242,0.1053387919258147,0.1724939405285627,0.277685727724729,0.3793453584702685,0.7066115702479339,0.07036779780276255,5.901228858491309
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,2025,222,-0.012745576351213178,-0.049019429436007386,0.3170486611515841,-0.04020069444519557,0.44144144144144143,-0.055945199380728235,-0.5989768569155799
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,2020,243,-0.012532556909111646,-0.022910190563049007,0.16545386615061428,-0.07574653406831326,0.45267489711934156,-0.03791443451311547,-1.1807716095320893
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,2021,243,0.08824007993816059,0.06734383899753181,0.16716719403900027,0.527855243640532,0.6008230452674898,0.05469704219797991,8.22844890924345
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,2022,242,0.09765535161603574,0.11119540592496857,0.14755878415188273,0.6618064263495067,0.7975206611570248,0.08624334740497214,10.295291861900575
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,2023,242,0.1239461386617995,0.11558456917036089,0.19224040926454974,0.6447454993254422,0.731404958677686,0.07519789580752012,10.02988612367559
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,2024,242,0.11217494303308272,0.14299237313834945,0.23442956388451167,0.47850169225390055,0.7396694214876033,0.07922417807155366,7.443739410843374
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,2025,222,-0.015954778727735038,-0.08696650446370024,0.28326230945463915,-0.05632510290003829,0.4009009009009009,-0.07333462669979396,-0.8392251319564841
A3_PRICE_PATH_SHAPE,a3_price_path_shape,2020,243,-0.003931156007648761,0.0037688508154470396,0.16122935029118154,-0.024382384476207716,0.5102880658436214,-0.0360150166899881,-0.3800837585022339
A3_PRICE_PATH_SHAPE,a3_price_path_shape,2021,243,0.06726604461862473,0.02583094129506072,0.17004774386216942,0.39557152062626944,0.5679012345679012,0.037342438693376,6.16634974576781
A3_PRICE_PATH_SHAPE,a3_price_path_shape,2022,242,0.08873618240294155,0.10692450588531802,0.14627400318320916,0.6066435625734458,0.7644628099173554,0.07880504342869857,9.437159090894681
A3_PRICE_PATH_SHAPE,a3_price_path_shape,2023,242,0.11018636688227429,0.09308374617422586,0.1839504960592857,0.5990001073264959,0.71900826446281,0.06302192015855722,9.31825483208477
A3_PRICE_PATH_SHAPE,a3_price_path_shape,2024,242,0.11063629608219398,0.1547129324028493,0.2698681569529424,0.40996424821430827,0.7396694214876033,0.07506426789459415,6.377546999040411
A3_PRICE_PATH_SHAPE,a3_price_path_shape,2025,222,-0.010100702896708768,-0.07053511519742389,0.298610308706424,-0.0338257005944131,0.42342342342342343,-0.06403149945379144,-0.5039915878226928
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,2020,243,0.028412356722211256,0.034634279051690635,0.08291927754457457,0.34265079922986236,0.691358024691358,0.03427783183685626,5.341397341681839
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,2021,243,-0.015293378303390002,-0.03741304090304827,0.1367888217221245,-0.1118028367439064,0.4074074074074074,-0.0108319241278289,-1.7428337430369698
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,2022,242,-0.002065267041822167,0.004888538915045529,0.11937730781722868,-0.01730033186025749,0.5206611570247934,0.019487318486637813,-0.26913000345364646
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,2023,242,0.00037409867098973064,-0.022123962371935542,0.11045243275603758,0.0033869663316155574,0.45454545454545453,1.585404857722277e-05,0.05268883093618948
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,2024,242,0.0393454815085635,0.026728409647379693,0.132840568408345,0.29618573587864766,0.6033057851239669,0.04726800929670792,4.607568731271428
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,2025,222,0.017603216932934908,-0.009085470459930169,0.14178050456037994,0.12415823309077195,0.4774774774774775,-0.006055495773958917,1.8499160087467177
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,2020,243,-0.01508957244981401,-0.01721704083023424,0.150101820211817,-0.10052891049902178,0.4609053497942387,-0.0416975248919895,-1.5670906255246506
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,2021,243,0.0732803501972096,0.03225138353821188,0.1800689996094406,0.4069570573288601,0.5596707818930041,0.04228183927428432,6.343832698130755
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,2022,242,0.08636224159360395,0.09908320527118175,0.1776474250038943,0.4861440664941288,0.7396694214876033,0.07445165545698804,7.562626853135251
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,2023,242,0.12451039314920526,0.13296826199186282,0.1790668270513794,0.6953291974815617,0.7727272727272727,0.07855040036962083,10.816783795316672
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,2024,242,0.11137258800708696,0.16958562449007647,0.28347148389511573,0.39288815395729454,0.7355371900826446,0.07189672356089909,6.111905314043479
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,2025,222,-0.019862133174520836,-0.08449589650650896,0.29952274078513125,-0.06631260492093768,0.42792792792792794,-0.06921342923784271,-0.9880355605193984
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,2020,243,-0.01958049423023372,-0.012089131466504251,0.18722908705396402,-0.104580407554891,0.4609053497942387,-0.05151455805461097,-1.6302472142519815
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,2021,243,0.07976601883358055,0.013359134889015365,0.2209538733876395,0.361007560585461,0.5349794238683128,0.042755694202872147,5.627550931654664
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,2022,242,0.08326721372779541,0.08544002922193587,0.23168396634060381,0.35939998370617676,0.6528925619834711,0.06283383621385143,5.59095164401339
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,2023,242,0.1573571782744107,0.18320039065532598,0.19962225988607804,0.7882747062587735,0.7768595041322314,0.10296999349124367,12.262676585135075
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,2024,242,0.12190225108251018,0.1883324747387552,0.2883393941219809,0.42277348696564127,0.7520661157024794,0.08266936381872916,6.576811989864322
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,2025,222,-0.02734684151151555,-0.09742433925353089,0.3115960959082118,-0.08776374887434799,0.3963963963963964,-0.07922250171115394,-1.307650406973697
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,2020,243,0.01329145158906465,0.016117125984251968,0.12120063387848833,0.10966486860448446,0.5432098765432098,-0.004206293266906097,1.7095061180549893
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,2021,243,0.04793179199411622,0.037471966783040746,0.14994001055419914,0.31967312671883674,0.5761316872427984,0.02655967317330712,4.983210875622863
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,2022,242,0.07121878193477982,0.10169334563213073,0.13052380520864196,0.5456382597866863,0.7851239669421488,0.06330045404857625,8.488139298539846
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,2023,242,0.09654329422011168,0.08861855070320335,0.1694850771531791,0.5696271072458888,0.7024793388429752,0.058578551595209964,8.861318186187384
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,2024,242,0.09550734600830134,0.09671340378139479,0.18215313074899242,0.5243244824592708,0.7644628099173554,0.0773492260583745,8.156574735959701
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,2025,222,-0.009848153063054668,-0.04413437881475807,0.25054250678024165,-0.039307314314104704,0.42792792792792794,-0.03883531789682197,-0.5856657927576923
B5_ROBUST_WINSORIZED,b5_robust_winsorized,2020,243,0.018789720589503203,0.02014457123255885,0.07888488101008437,0.23819165788056637,0.5596707818930041,0.016112140953590745,3.7130404804938424
B5_ROBUST_WINSORIZED,b5_robust_winsorized,2021,243,-0.006127266593896361,-0.017929888549889778,0.12374483928619628,-0.04951533033006134,0.45267489711934156,-0.0074630301274851785,-0.7718676109670023
B5_ROBUST_WINSORIZED,b5_robust_winsorized,2022,242,0.013125380463473052,0.027525246025543675,0.09497592391150583,0.13819692320869312,0.5991735537190083,0.028467848351806435,2.149839593879636
B5_ROBUST_WINSORIZED,b5_robust_winsorized,2023,242,0.044803177087549856,0.024201962435688916,0.13171838687821724,0.34014368190656247,0.5619834710743802,0.030896059705193546,5.291393889185586
B5_ROBUST_WINSORIZED,b5_robust_winsorized,2024,242,0.06638123863354928,0.061375131639017755,0.15928506655195332,0.4167448968726644,0.628099173553719,0.061825676777701365,6.483029137278088
B5_ROBUST_WINSORIZED,b5_robust_winsorized,2025,222,0.0010480506806343178,-0.0407429790271288,0.22201248366428747,0.004720683554980226,0.3963963963963964,-0.03737430991875758,0.07033660082936824
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,2020,243,-0.017292058943434014,-0.019855041492832216,0.1864430643949774,-0.09274712899376612,0.4773662551440329,-0.04673705444517378,-1.4457846570601272
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,2021,243,0.0876139241607112,0.02409858984759307,0.2128501860420716,0.41162249274893087,0.5308641975308642,0.048060752761383135,6.416559638813701
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,2022,242,0.08799099826725351,0.09014268140332776,0.2180044039591461,0.40362027862401795,0.6611570247933884,0.06790783326737632,6.278857992867829
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,2023,242,0.15606467193744422,0.17516921406639635,0.2010426389533811,0.7762764792081415,0.7851239669421488,0.10098559003381143,12.076027975521285
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,2024,242,0.11782165608987075,0.16398200804335356,0.2655284347928582,0.44372519343092115,0.7520661157024794,0.08294461481600779,6.90274405168297
