family,feature,rank_ic,development_rank_ic,icir,positive_years,worst_year,residual_ic,maximum_abs_correlation_stable_core,low_redundancy
residual_momentum,ng_residual_momentum_20,-0.021024630061629246,-0.022853825315199576,-0.14314760622076053,3,-0.09092406353898594,-0.017078211616083985,0.7645975462627995,True
residual_momentum,ng_residual_momentum_60,-0.006438259514255722,-0.00946380662751998,-0.039531061051064846,3,-0.08016199898526939,0.012201832617421792,0.584988978305969,True
residual_momentum,ng_residual_momentum_120,0.007842129726702923,0.00790215662510044,0.04201532569740413,4,-0.11978027470532253,0.014890500966580648,0.3948073985263656,True
residual_momentum,ng_residual_momentum_consistency,-0.006840860540744877,-0.0093351610795614,-0.040695142337717094,3,-0.10496831848929876,0.011349675941818146,0.6249815862342661,True
liquidity_shock,ng_abnormal_amount_20_60,-0.03406518759048761,-0.04520108935295922,-0.2171360313918101,1,-0.08988313030960045,0.0025486211369810494,0.3469961732770336,True
liquidity_shock,ng_amihud_change_20_60,-0.03587822849310074,-0.04347558698011398,-0.2668715330582205,1,-0.08235571320658729,-0.008896541219841335,0.2115847798148664,True
liquidity_shock,ng_liquidity_dryup_5_60,-0.024649523934730425,-0.030322061346857342,-0.1557404757462147,1,-0.051558623449473207,0.001648070814046081,0.43121591861248804,True
liquidity_shock,ng_volume_price_divergence,0.011284767646896923,0.015982670120586327,0.08575323983587504,5,-0.011109893193040671,0.004768083823388843,0.16099511653047177,True
price_path_shape,ng_up_day_ratio_20,-0.013755008737314705,-0.014990157927684333,-0.09034064000198984,2,-0.09183380545045958,0.0026218842276218533,0.5647314211335273,True
price_path_shape,ng_trend_efficiency_20,0.013298812142246156,0.012729293368886552,0.11558120575096324,5,-0.014450510789051406,0.004415092000267661,0.05116474120487661,True
price_path_shape,ng_return_autocorrelation_20,-0.002039972563701697,-0.0006696726015552978,-0.01580961119105301,3,-0.024948436479102127,0.004777673425131385,0.05842733724990227,True
price_path_shape,ng_recovery_from_low_20,-0.02918408548851618,-0.03776023934962389,-0.1498594924649936,2,-0.08941132093572535,0.003918134633642038,0.7290847186705196,True
