score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top10,10,0,0.4107593757159933,0.4107593757159933,0.13362732808752154,0.6597892866147804
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top10,10,10,0.4107593757159933,0.28334375045857363,0.006211702830101862,0.6597892866147804
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top10,10,20,0.4107593757159933,0.16727509866283818,-0.10985694896563358,0.6597892866147804
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top10,10,30,0.4107593757159933,0.06155724781502592,-0.21557479981344585,0.6597892866147804
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top10,10,50,0.4107593757159933,-0.12238710457380919,-0.39951915220228096,0.6597892866147804
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top20,20,0,0.42521578691104644,0.42521578691104644,0.14808373928257468,0.5968929103428651
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top20,20,10,0.42521578691104644,0.3082093804241304,0.031077332795658608,0.5968929103428651
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top20,20,20,0.42521578691104644,0.2006772125032057,-0.07645483512526607,0.5968929103428651
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top20,20,30,0.42521578691104644,0.10186280180090934,-0.17526924582756243,0.5968929103428651
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top20,20,50,0.42521578691104644,-0.07234554356735601,-0.3494775911958278,0.5968929103428651
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top30,30,0,0.5434589510147776,0.5434589510147776,0.2663269033863058,0.5419989893636612
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top30,30,10,0.5434589510147776,0.42812677422036405,0.15099472659189228,0.5419989893636612
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top30,30,20,0.5434589510147776,0.3212933771232298,0.04416132949475804,0.5419989893636612
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top30,30,30,0.5434589510147776,0.22234127351119648,-0.05479077411727529,0.5419989893636612
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top30,30,50,0.5434589510147776,0.04582900820602309,-0.23130303942244868,0.5419989893636612
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top50,50,0,0.6098737160767953,0.6098737160767953,0.33274166844832354,0.45516755905260964
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top50,50,10,0.6098737160767953,0.5083138712818729,0.23118182365340112,0.45516755905260964
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top50,50,20,0.6098737160767953,0.413069914855988,0.13593786722751622,0.45516755905260964
