experiment_id,score,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat,controls
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,1434,0.02272627329888178,0.02688460677524473,0.09698278660321272,0.2343330615139175,0.6115760111576011,0.021114471941392637,8.873769472569597,"sector,size,volatility,momentum,liquidity"
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,1434,0.016238504298200035,0.01954309831289315,0.08561131564020158,0.18967707921281748,0.5753138075313807,0.017378256883583187,7.182728140411802,"sector,size,volatility,momentum,liquidity"
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,1434,0.014961080462370132,0.021877818406779652,0.12372278031513505,0.12092421803214147,0.5662482566248257,0.01631634606511309,4.579181561216603,"sector,size,volatility,momentum,liquidity"
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,1434,0.011892640535746696,0.01283007216522738,0.08136556887596892,0.14616306012529032,0.5648535564853556,0.012725922832584035,5.534930891004995,"sector,size,volatility,momentum,liquidity"
A3_PRICE_PATH_SHAPE,a3_price_path_shape,1434,0.014066225268307721,0.019184360839597906,0.08384147756874974,0.16777167669514725,0.5843793584379359,0.015170254035748018,6.353210142013158,"sector,size,volatility,momentum,liquidity"
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,1434,0.016340593932234096,0.01937713996435354,0.08362329411339162,0.1954072020898454,0.5829846582984658,0.018925560693269384,7.399717536324351,"sector,size,volatility,momentum,liquidity"
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,1434,0.016005690242191898,0.01699191833163599,0.08424442786560796,0.18999108484332267,0.5634588563458857,0.01879748093241666,7.194618966060519,"sector,size,volatility,momentum,liquidity"
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,1434,0.01714720136267745,0.017651903824696412,0.08442912440939132,0.20309580944523112,0.5634588563458857,0.017626046317529707,7.690871199388424,"sector,size,volatility,momentum,liquidity"
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,1434,0.01801742892056538,0.018711560988825086,0.08514344834555213,0.2116126286950722,0.5760111576011158,0.019722547421767437,8.013387749867341,"sector,size,volatility,momentum,liquidity"
B5_ROBUST_WINSORIZED,b5_robust_winsorized,1434,0.015131608223305771,0.017733617040844283,0.08294571710814731,0.18242784258018638,0.5794979079497908,0.017462478708187668,6.908212652437202,"sector,size,volatility,momentum,liquidity"
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,1434,0.013940162881815498,0.012499896232721098,0.08121540555527329,0.17164431780529807,0.5725244072524407,0.01461991237157275,6.4998600608912644,"sector,size,volatility,momentum,liquidity"
C2_DEV_SELECTED_SIGNAL_LABEL_LGBM,c2_dev_selected_signal_label_lgbm,1434,0.012328349594543816,0.014540585746407335,0.07437709960073285,0.16575464303830345,0.5760111576011158,0.012068437450266558,6.276828723302495,"sector,size,volatility,momentum,liquidity"
