experiment_id,score,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat,train_rank_ic,train_oos_gap,worst_year_rank_ic,label_id,status
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,1434,0.06410218716264009,0.07094286103415168,0.22334969358241177,0.287003694227087,0.6171548117154811,0.028601795456500042,10.868311129011405,0.08552597993981714,0.021423792777177056,-0.016105259928737296,L0_GEN2_CROSS_SECTIONAL_RANK,REJECTED
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,1434,0.011302768266538376,0.008766277548396912,0.12327305917986123,0.09168887623732208,0.5264993026499303,0.014303808587726731,3.4720920115689173,0.05286499477714925,0.04156222651061088,-0.015293378303390002,L1_RAW_FORWARD_RETURN,REJECTED
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,1434,0.06116757973036847,0.06804016702908292,0.22487644447951338,0.27200527770680283,0.6185495118549512,0.027337595338823902,10.300348205663193,0.0820762903579362,0.020908710627567738,-0.019862133174520836,L2_SECTOR_NEUTRAL_RANK,REJECTED
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,1434,0.06714472195924558,0.07206664991732506,0.2519127718199317,0.26653957032095577,0.5983263598326359,0.028183203303289234,10.09337174645943,0.08250672862120832,0.015362006661962746,-0.02734684151151555,L4_BETA_RESIDUAL_RANK,REJECTED
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,1434,0.05327905047015863,0.05644315847667742,0.17549751333609945,0.30358863471827463,0.6359832635983264,0.03139725440452152,11.496352847428264,0.07890365842223694,0.025624607952078313,-0.009848153063054668,L5_VOL_ADJUSTED_RANK,REJECTED
B5_ROBUST_WINSORIZED,b5_robust_winsorized,1434,0.02328634187496496,0.010563839878580913,0.14344431803295618,0.16233715070969174,0.5348675034867504,0.01613146210514449,6.147414466080519,0.06432947430058529,0.04104313242562033,-0.006127266593896361,L6_ROBUST_WINSORIZED_RETURN,REJECTED
