model,horizon,mean_score_rank_correlation_with_v6,mean_top20_overlap_ratio
ridge,5,0.44425773288156173,0.25592747559274753
lightgbm_regression,5,0.445120508064621,0.2130753138075314
ridge,20,0.3887777975347904,0.2031729428172943
lightgbm_regression,20,0.3966148949391112,0.17897489539748956
