model,horizon,portfolio_policy,mean_rank_ic,rank_ic_ir,positive_rank_ic_ratio,rank_ic_2025,net_research_proxy_alpha,max_drawdown,annualized_turnover,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,gates_passed,all_gates_passed,gates
lightgbm_regression,5,buffer_top20_exit30,0.03585453897706152,0.19387540429720576,0.5753138075313807,0.02303475419038353,0.04669627967911372,-0.24125383149805446,16.38703765354505,0.38974640816205325,0.644186463169871,0.8499572209260148,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": true, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": false}"
lightgbm_regression,5,sector_balanced_top20,0.03585453897706152,0.19387540429720576,0.5753138075313807,0.02303475419038353,-0.13064050210007916,-0.2729970642656523,25.478733927541285,0.34997594078277705,0.40552620209960255,0.41426385642607305,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": false}"
ridge,20,equal_top10,0.04828066326890036,0.24125636379544801,0.5801952580195258,-0.002806456139947645,-0.321389053085254,-0.3320684350861921,8.14177614220868,0.4488117563162118,0.7057237371925585,0.8025392510666779,5,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
ridge,20,equal_top20,0.04828066326890036,0.24125636379544801,0.5801952580195258,-0.002806456139947645,-0.25761381101677605,-0.2893500849331978,7.45318378373741,0.4163513607897325,0.600689052944957,0.6705520543936377,5,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
ridge,20,equal_top30,0.04828066326890036,0.24125636379544801,0.5801952580195258,-0.002806456139947645,-0.1565963199437974,-0.2560118903186529,6.7921847048379425,0.3990571706518115,0.5435854077182338,0.6436045304242616,5,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
ridge,20,rank_weight_top20,0.04828066326890036,0.24125636379544801,0.5801952580195258,-0.002806456139947645,-0.3573453760050036,-0.31798730892829763,7.865937146549691,0.4291001502285252,0.6328979224742987,0.7511285243965379,5,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
ridge,20,rank_decay_top20,0.04828066326890036,0.24125636379544801,0.5801952580195258,-0.002806456139947645,-0.37862167469678976,-0.32507618206095523,8.191073536143678,0.43938808222010883,0.6785279942711703,0.800709620129141,5,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
ridge,20,buffer_top20_exit30,0.04828066326890036,0.24125636379544801,0.5801952580195258,-0.002806456139947645,-0.3731115920767929,-0.31601732553396233,5.8015731470227365,0.4178213673338379,0.586779019514314,0.6944054207955073,5,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
ridge,20,sector_balanced_top20,0.04828066326890036,0.24125636379544801,0.5801952580195258,-0.002806456139947645,-0.1890806583387714,-0.3802290580887645,7.564082265268407,0.34661104635660783,0.4092760512327651,0.4124164604523165,5,False,"{""drawdown_acceptable"": false, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": true}"
lightgbm_regression,20,equal_top10,0.04987666852835187,0.26534749011677106,0.592747559274756,0.001248770082136381,-0.1723785785854759,-0.27887318204856504,6.907082216566423,0.47230027844013833,0.8030015865166505,0.9999999999999999,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
lightgbm_regression,20,equal_top20,0.04987666852835187,0.26534749011677106,0.592747559274756,0.001248770082136381,-0.022059103459166618,-0.1886731440583489,6.367119375944301,0.41209907706639837,0.7165981039101168,0.8990425449720644,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
lightgbm_regression,20,equal_top30,0.04987666852835187,0.26534749011677106,0.592747559274756,0.001248770082136381,0.1880470860613157,-0.17836452523523505,5.902461875966911,0.36814647318212296,0.6000138345452011,0.767939522586425,7,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": true, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
lightgbm_regression,20,rank_weight_top20,0.04987666852835187,0.26534749011677106,0.592747559274756,0.001248770082136381,-0.03609761156535418,-0.22025873027668585,6.7212999932093105,0.4421920009097184,0.7418556296746076,0.9854994495591888,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
lightgbm_regression,20,rank_decay_top20,0.04987666852835187,0.26534749011677106,0.592747559274756,0.001248770082136381,-0.12054872899150482,-0.24996731340161016,6.948977270763565,0.4651463513068056,0.7839904099211255,0.9812151641238939,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
lightgbm_regression,20,buffer_top20_exit30,0.04987666852835187,0.26534749011677106,0.592747559274756,0.001248770082136381,0.061397470189351155,-0.17547768303656375,4.937154421817797,0.4160609601907735,0.7657899704323057,0.9999999999999997,7,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": true, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": false, ""turnover_acceptable"": true}"
lightgbm_regression,20,sector_balanced_top20,0.04987666852835187,0.26534749011677106,0.592747559274756,0.001248770082136381,0.024933920426399192,-0.2252041136074906,7.520850670320099,0.34618925734525313,0.4088915138190584,0.42003768015326165,8,True,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": true, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": true}"
