horizon,factor,rank_ic_2020_2024_mean,rank_ic_2025,ic_change,sign_flip,status
5,operating_cash_margin_rank,0.017988104463753173,0.004304941152894666,-0.013683163310858507,False,FACTOR_DECAY
5,benchmark_weight_rank,0.018035029691608213,0.014447700381557165,-0.0035873293100510475,False,FACTOR_DECAY
5,revenue_growth_change_rank,0.011645182450719254,0.013500544878021775,0.0018553624273025208,False,NO_DECAY
5,gross_margin_yoy_change_rank,0.009305751448232914,0.018783498240871298,0.009477746792638384,False,NO_DECAY
5,volatility_60_rank,0.05807301533061553,-0.008760040435503862,-0.06683305576611939,True,SIGN_REVERSAL
5,low_volatility,0.051005619439468595,-0.006125317259474935,-0.05713093669894353,True,SIGN_REVERSAL
5,deducted_profit_growth_change_rank,0.009443641391927524,0.010628002057573025,0.0011843606656455011,False,NO_DECAY
5,liquidity,-0.022957281657266133,-0.016885738572641508,0.0060715430846246254,False,NO_DECAY
5,gross_margin_change_rank,0.007036390582721122,0.017208623175892387,0.010172232593171265,False,NO_DECAY
5,volume_trend_60_rank,-0.017573260504790127,-0.0016105188220953014,0.015962741682694827,False,NO_DECAY
5,profit_growth_change_rank,0.008257929881278788,0.015327269532985115,0.007069339651706327,False,NO_DECAY
5,cash_ratio_change_rank,0.010062073363174853,0.005979125494171112,-0.0040829478690037405,False,FACTOR_DECAY
5,intraday_strength_20_rank,-0.008670850854983089,-0.017288041366682945,-0.008617190511699856,False,FACTOR_DECAY
5,fcff_back_rank,0.0061044853266484875,0.014801553291373327,0.00869706796472484,False,NO_DECAY
5,industry_momentum,-0.004100919274688079,-0.024600405547789337,-0.020499486273101258,False,FACTOR_DECAY
20,operating_cash_margin_rank,0.02568654336132272,-0.004898671562339613,-0.030585214923662334,True,SIGN_REVERSAL
20,benchmark_weight_rank,0.019424897367963174,0.008320773095392526,-0.011104124272570648,False,FACTOR_DECAY
20,revenue_growth_change_rank,0.010517319737970215,0.037875854977396754,0.027358535239426537,False,NO_DECAY
20,gross_margin_yoy_change_rank,0.012821713877202958,0.03336020979184442,0.02053849591464146,False,NO_DECAY
20,volatility_60_rank,0.08490659211504256,-0.04857514903160896,-0.1334817411466515,True,SIGN_REVERSAL
20,low_volatility,0.07531483122533836,-0.04425458891456705,-0.1195694201399054,True,SIGN_REVERSAL
20,deducted_profit_growth_change_rank,0.00337879565239498,0.02397284734101399,0.02059405168861901,False,NO_DECAY
20,liquidity,-0.039540611531129574,-0.01726814965866548,0.022272461872464094,False,NO_DECAY
20,gross_margin_change_rank,0.008932093338571156,0.026433545433145713,0.017501452094574557,False,NO_DECAY
20,volume_trend_60_rank,-0.03240656546740326,0.00727968160073732,0.03968624706814058,True,SIGN_REVERSAL
20,profit_growth_change_rank,0.0024723012445804775,0.038866510152989205,0.03639420890840873,False,NO_DECAY
20,cash_ratio_change_rank,0.009669660381503738,0.02717957801140674,0.017509917629903,False,NO_DECAY
20,intraday_strength_20_rank,-0.0292129034471676,-0.010746823488194184,0.018466079958973418,False,NO_DECAY
20,fcff_back_rank,-0.0017317208086167104,0.027527831398473656,0.029259552207090367,True,SIGN_REVERSAL
20,industry_momentum,-0.010972369097004999,-0.022515576028811674,-0.011543206931806676,False,FACTOR_DECAY
