model,horizon,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
v6,5,1434,-0.0021419381635721132,0.1698193492795257,-0.012613039519109479,0.4930264993026499,-0.00896321096238055
ridge,5,1434,0.034267334197619286,0.19711148739573256,0.1738474740887231,0.5592747559274756,0.011708840564393858
lightgbm_regression,5,1434,0.03585453897706152,0.18493598559875846,0.19387540429720576,0.5753138075313807,0.017338500667893032
v6,20,1434,-0.016141451463749165,0.1668691444090673,-0.09673119330065957,0.4609483960948396,-0.0209816359995814
ridge,20,1434,0.04828066326890036,0.20012182273391005,0.24125636379544801,0.5801952580195258,0.02180023868051128
lightgbm_regression,20,1434,0.04987666852835187,0.1879673650065532,0.26534749011677106,0.592747559274756,0.02533432461434377
