factor,2024_mean,2024_std,2024_median,2024_missing_ratio,2024_cross_sectional_dispersion,2024_p10,2024_p90,2025_mean,2025_std,2025_median,2025_missing_ratio,2025_cross_sectional_dispersion,2025_p10,2025_p90,mean_shift_in_2024_std,psi_2024_to_2025,drift_status
benchmark_weight_rank,0.3119196156968996,0.11252208869110922,0.31847968545216254,0.0,0.11272584166908753,0.15259740259740262,0.464935064935065,0.31027095178884495,0.11358370790775679,0.312089356110381,0.0,0.11379832530816662,0.14980289093298294,0.46593290469557364,-0.014651913479676574,0.002830804179329967,LOW
cash_ratio_change_rank,-0.01745741101648973,0.273238864866157,0.0,0.0,0.2733989487727473,-0.4043478260869565,0.3867924528301887,-0.019768971842539722,0.276062062125608,0.0,0.0,0.27632326557011744,-0.4093567251461988,0.375366568914956,-0.008459853715108519,0.011413281259858563,LOW
deducted_profit_growth_change_rank,-0.002761615555869025,0.277882905654344,0.0,0.0,0.2780927949164534,-0.38320209973753283,0.39803921568627454,-0.007043810214370801,0.2716799445413509,-0.022427440633245366,0.0,0.27195159472230546,-0.3720316622691293,0.3803694667131428,-0.015410068670536929,0.017207681910070924,LOW
fcff_back_rank,0.012070672251056477,0.3150760510166107,0.0,0.0,0.31209080672902617,-0.4449275362318841,0.4429824561403509,0.0016740766216284302,0.31709699779617484,0.0,0.0,0.312728159686352,-0.4442815249266862,0.44143484626647145,-0.03299709894129637,0.004317321008405678,LOW
fundamental_freshness_rank,-0.0024749382459067727,0.29279514020369596,-0.007874015748031482,0.0,0.2927484687393799,-0.42287581699346405,0.349609375,0.016542160902663715,0.29283638527578515,0.04894179894179895,0.0,0.2928625872723668,-0.42480211081794195,0.33333333333333337,0.06495018713541624,0.5670651760538352,SEVERE
gross_margin_change_rank,-0.003402396301485626,0.24750741927408995,0.0,0.0,0.24603063816217996,-0.3575624082232012,0.35043988269794724,0.009032344430539796,0.25101721691054824,0.0,0.0,0.25050273123918276,-0.3529411764705882,0.3651026392961877,0.050239870661231284,0.00686191779297467,LOW
gross_margin_yoy_change_rank,-0.009538476278792413,0.26337232256724236,0.0,0.0,0.2634943948947913,-0.3793604651162791,0.3698830409356725,0.0006715814901000756,0.2635231281674662,0.0,0.0,0.26385437007101215,-0.37701317715959004,0.37701317715959004,0.03876663147201327,0.008232425109249403,LOW
industry_momentum,0.02043654349432033,0.28592188575461125,0.01851851851851849,0.0,0.28247855061865595,-0.375,0.4130434782608695,0.019849166820985448,0.2882286457541796,0.017857142857142905,0.0,0.2861663538159559,-0.375,0.41666666666666663,-0.0020543256833406237,0.0007104053023994591,LOW
intraday_strength_20_rank,0.010801682397364792,0.29266767431811014,0.024675324675324628,0.0,0.28870210537645363,-0.4017038007863696,0.4033942558746736,0.004013310794463735,0.29375658090441664,0.0079155672823219,0.0,0.29201072142233986,-0.40657894736842104,0.4030144167758847,-0.023194811721920994,0.0014311280232902983,LOW
liquidity,0.2168819262694998,0.21869202147850042,0.26983094928478546,0.0,0.21869768886190433,-0.14705882352941174,0.45833333333333337,0.20109749588567832,0.2180364039970568,0.24540682414698167,0.0,0.21825612965073055,-0.14473684210526316,0.45646437994722955,-0.07217652604383296,0.01275213288947621,LOW
low_volatility,0.019331893350382785,0.28915646363888614,0.02015604681404426,0.0,0.28671814446020527,-0.3763020833333333,0.4214659685863874,0.007526609942934221,0.2929060138996643,0.010526315789473717,0.0,0.29242263867414,-0.3961892247043364,0.410761154855643,-0.04082662811297771,0.00629839183269235,LOW
