model,horizon,test_year,overall_rank_ic,top_decile_ic,top_quintile_ic,bottom_decile_ic,top_decile_return,universe_return,top_decile_win_rate,cutoff_margin_20_std_units,score_std
v6,5,2020,0.04130452038992767,-0.015293350149893024,-0.010512383788907573,0.03137163124203885,0.007085592382361942,0.005806963645292791,0.5129587192791702,0.014054343698411843,0.26358945550808877
v6,5,2021,-0.014308607103152808,0.0029789384578550286,0.007118558564901959,0.011084677137019426,-0.00015403588091104508,4.411090189736353e-05,0.4692453353886526,0.01393352077773755,0.2563573482365384
v6,5,2022,-0.020577867496464015,-0.01363357463285094,0.0010184722829657713,0.012443352734123133,-0.0018047779682560051,-0.0027175813325148266,0.44798669410598985,0.01500522400432824,0.2596697018170209
v6,5,2023,-0.049852938563870595,0.012763729640551745,-0.0007062243552866241,0.03894139539848471,-0.004931178385322679,-0.0023493879086175684,0.4145229967660798,0.016408838006684155,0.22992570463223236
v6,5,2024,0.0406897720085442,-0.0017765773545694147,0.019325003671491005,0.015956518528308265,0.004516962839856969,0.0032131137512017086,0.49460384477182895,0.013846967836003182,0.25951857579277804
v6,5,2025,-0.02547937666553165,-0.008068880807281426,0.005994402841592749,0.042895130901647455,0.0015262941420986053,0.005286370761680977,0.49388203017832655,0.01595982652070512,0.269070245146574
ridge,5,2020,0.017552415543544028,0.017958277906518647,0.01716932265121462,0.03230778543192105,0.0042500286038479,0.00580696364529279,0.4833920567414932,0.02108518218860532,0.021315917890510197
ridge,5,2021,0.03202545248467947,0.008070587355334715,0.001146666867726375,0.019141162345048736,0.0006771570132988771,4.4110901897363646e-05,0.46941056379059604,0.02213633964398226,0.019570170374287967
ridge,5,2022,0.015457711487247255,-0.006370573925286107,0.019947500363971016,0.07056255305493145,-0.0004980390225939596,-0.0027175813325148266,0.46221439148945437,0.0247035372236968,0.018460964258312805
ridge,5,2023,0.04708555883443957,-0.012879020506802693,-0.00876923745170718,0.009906787826148828,-0.001549326611054572,-0.0023493879086175684,0.4640148520780932,0.02111350237380069,0.01836899396602192
ridge,5,2024,0.07112325899335996,-0.006282682317031351,-0.027881552505420928,0.05448618876944747,0.0026733669201905556,0.003213113751201708,0.48348484848484846,0.02029576376358353,0.019106963334719125
ridge,5,2025,0.0077491610405724136,-0.0011578978815143814,-0.002761651654574401,0.0499643530561405,0.002416506748109825,0.005286370761680977,0.5109190672153635,0.018976786495909333,0.01939351382499114
lightgbm_regression,5,2020,0.02147412575226139,-0.003340309405205451,-0.017473640134014732,0.014125781751435989,0.0037227427428820326,0.005806963645292791,0.47446563992457713,0.0229886607302731,0.03410344454129979
lightgbm_regression,5,2021,0.035736894675426026,0.03098058056805927,0.03169123964734756,0.042244414262966094,0.002666296557521173,4.4110901897363646e-05,0.48511568052630855,0.013612739572483384,0.032481292494622505
lightgbm_regression,5,2022,0.023590848959692327,0.023173357699031956,0.020213480220919785,0.07729914462002158,-0.0008721059649266981,-0.002717581332514827,0.4617490118577075,0.01880898293005508,0.03340897370487298
lightgbm_regression,5,2023,0.0391741705475571,-0.012309871388710706,-0.007009131157886346,0.038071739700320385,-0.0016708548080492788,-0.002349387908617568,0.45380434782608703,0.019154005674469538,0.03180339177346167
lightgbm_regression,5,2024,0.07111686271966396,-0.033696959413119745,-0.023064530094469998,0.06579268027609388,0.0028798571947185195,0.0032131137512017086,0.48015570727033174,0.01619662561468702,0.03196710120097105
lightgbm_regression,5,2025,0.008445783057739381,0.00905128741701563,0.023504630623172876,0.047111242245681015,0.003008939104878229,0.0052863707616809755,0.5222085048010973,0.012634470508008288,0.03220402201900939
v6,20,2020,0.0516743978376153,-0.006799864542164866,0.007072012589589807,0.003974504500445477,0.03092450975650906,0.024533232612748333,0.550279073821747,0.014584227722722255,0.26347669346727337
v6,20,2021,-0.04006297741632898,0.020802609792905265,0.0030144370948185506,0.01226950860023123,-0.007043460482991686,-0.002394034119987476,0.4340536022098018,0.013304259688837458,0.2560583684454782
v6,20,2022,-0.03282797269048602,0.03173064098043591,0.03340712958811859,0.0010273687555855217,-0.0036993698540772903,-0.007410370790982611,0.44132038131948303,0.0157705233410592,0.2591586794665798
v6,20,2023,-0.09064668852523759,-0.01574839366352479,-0.029093373330420898,0.0473580580964562,-0.025840571340482857,-0.013686916097572235,0.34372290094622104,0.01739838958716859,0.22998661418524535
v6,20,2024,0.056671571368330675,0.01140895384295467,0.02847328774833837,0.01820195947262525,0.01609576525367858,0.013857965766145963,0.5395791003821906,0.014822362577484795,0.25938394677794246
v6,20,2025,-0.075409506972719,0.0014980707097889234,-0.006977489632878991,0.03110490658621852,0.00454815899601756,0.021280157141041277,0.5000930398998031,0.015810171894529334,0.26907247330484996
ridge,20,2020,-0.005421840804356287,0.0034884497296418394,-0.04636332742202319,0.0017227201684501113,0.007677805376320928,0.024533232612748333,0.4561922457574631,0.018236425054509568,0.03157430120743158
ridge,20,2021,0.047277352868260576,-0.0915313166745276,-0.029482227778754536,0.014837305464025593,-0.0007140683640932493,-0.002394034119987476,0.4598739844875111,0.024529077753533742,0.02610308209578094
ridge,20,2022,0.02786170034876172,-0.01269669195555057,-0.021112807955829052,0.06380161881993367,-0.004223922332171891,-0.007410370790982612,0.44912779429218525,0.02762710363648964,0.02321796852425937
