model,horizon,mean_score_rank_correlation_with_v6,mean_top20_overlap_ratio
ridge,5,0.4460837104234011,0.25529209621993126
lightgbm_regression,5,0.44693097533103243,0.21439862542955326
ridge,20,0.3913372791226902,0.2034364261168385
lightgbm_regression,20,0.3995205004713452,0.17989690721649484
