model,horizon,portfolio_policy,mean_rank_ic,rank_ic_ir,positive_rank_ic_ratio,rank_ic_2025,net_research_proxy_alpha,max_drawdown,annualized_turnover,average_maximum_sector_weight,gates_passed,all_gates_passed,gates
lightgbm_regression,20,equal_top30,0.04373269664948378,0.2258892625333218,0.584192439862543,-0.031336798709561284,0.13670651449542248,-0.178305505062206,5.684383561643835,0.3748858447488584,7,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": true, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": true}"
lightgbm_regression,5,buffer_top20_exit30,0.03323300257448231,0.1778093635785864,0.570446735395189,0.008445783057739381,0.014284755934792281,-0.24104544823293184,15.78680412371134,0.3929553264604811,7,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": true, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": false}"
lightgbm_regression,5,rank_decay_top20,0.03323300257448231,0.1778093635785864,0.570446735395189,0.008445783057739381,0.008604300861448033,-0.25911897144927887,25.082359916291942,0.4392350535401378,7,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": true, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": false}"
lightgbm_regression,20,buffer_top20_exit30,0.04373269664948378,0.2258892625333218,0.584192439862543,-0.031336798709561284,0.00016042908505786713,-0.17539893042922117,4.72068493150685,0.4246575342465753,7,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": true, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": true}"
lightgbm_regression,5,equal_top30,0.03323300257448231,0.1778093635785864,0.570446735395189,0.008445783057739381,-0.012276273408041716,-0.25801427834407353,19.28824742268041,0.36517754868270325,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": false}"
lightgbm_regression,20,sector_balanced_top20,0.04373269664948378,0.2258892625333218,0.584192439862543,-0.031336798709561284,-0.01972534064861642,-0.22509160630023584,7.326986301369864,0.3513698630136986,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": true}"
lightgbm_regression,5,rank_weight_top20,0.03323300257448231,0.1778093635785864,0.570446735395189,0.008445783057739381,-0.021091509001556208,-0.23881236293382768,23.61484536082474,0.42461135657011945,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": false}"
lightgbm_regression,5,equal_top20,0.03323300257448231,0.1778093635785864,0.570446735395189,0.008445783057739381,-0.023368535307764615,-0.2733841405626868,21.372371134020618,0.3943298969072165,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": false}"
lightgbm_regression,20,equal_top20,0.04373269664948378,0.2258892625333218,0.584192439862543,-0.031336798709561284,-0.0754731893879208,-0.18841989848452512,6.170547945205479,0.4205479452054794,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": true}"
lightgbm_regression,20,rank_weight_top20,0.04373269664948378,0.2258892625333218,0.584192439862543,-0.031336798709561284,-0.09136214239925233,-0.2201992275407687,6.6115068493150675,0.4491846053489889,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": true}"
lightgbm_regression,5,sector_balanced_top20,0.03323300257448231,0.1778093635785864,0.570446735395189,0.008445783057739381,-0.17591408406839792,-0.2710763861299258,24.931546391752576,0.3517182130584192,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": true, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": false}"
ridge,20,equal_top30,0.04218041821677145,0.20556341478550724,0.5718213058419244,-0.03491767854020176,-0.18404314072925443,-0.25568279775668135,6.599178082191781,0.4036529680365296,6,False,"{""drawdown_acceptable"": true, ""net_research_proxy_alpha_positive"": false, ""positive_ratio"": true, ""rank_ic_2025_positive"": false, ""rank_ic_ir_positive"": true, ""rank_ic_positive"": true, ""sector_concentration_acceptable"": true, ""turnover_acceptable"": true}"
