model,horizon,test_year,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
lightgbm_lambdarank,1,2020,243,0.00812452575382343,0.22600286262375027,0.03594877365491227,0.5473251028806584,0.02862939112828036
lightgbm_lambdarank,1,2021,243,-0.013321362949137987,0.24317037579058215,-0.05478201407481608,0.4732510288065844,0.014387183768476933
lightgbm_lambdarank,1,2022,242,-0.023593026653693765,0.17310738905457454,-0.13629127435025742,0.4628099173553719,-0.006510503766618421
lightgbm_lambdarank,1,2023,242,-0.06272699109361146,0.20634537925671662,-0.30399028715623483,0.4090909090909091,-0.02569439508445266
lightgbm_lambdarank,1,2024,242,-0.05565156113979973,0.28805417761479596,-0.19319824347147804,0.4049586776859504,-0.03448465112240064
lightgbm_lambdarank,1,2025,243,-0.00945658155593871,0.2680293857176997,-0.035281883479368926,0.49382716049382713,0.026664857913956477
lightgbm_lambdarank,5,2020,243,0.03929580677852808,0.17915807992940364,0.21933594507159487,0.6337448559670782,0.048126033355835256
lightgbm_lambdarank,5,2021,243,-0.026798435998873688,0.22177932742833997,-0.1208337869431615,0.4609053497942387,-0.0020566641054989235
lightgbm_lambdarank,5,2022,242,-0.029410349324058126,0.1644744625669142,-0.17881407766930946,0.4628099173553719,-0.007958923762415157
lightgbm_lambdarank,5,2023,242,-0.0968113369776946,0.21474524193369127,-0.45081947383769216,0.32644628099173556,-0.05740781415697238
lightgbm_lambdarank,5,2024,242,-0.058854129967799984,0.22701130081407178,-0.25925638836809745,0.3760330578512397,-0.036217861412114735
lightgbm_lambdarank,5,2025,243,0.02990352149449237,0.25235460635184426,0.11849802120433467,0.5390946502057613,0.06975547943493009
lightgbm_lambdarank,20,2020,243,0.04960454529591566,0.1388674488488719,0.3572078676976331,0.588477366255144,0.05545031726537353
lightgbm_lambdarank,20,2021,243,-0.0250220991106844,0.15712039745261674,-0.1592543012642925,0.43621399176954734,-0.004407550274192187
lightgbm_lambdarank,20,2022,242,-0.03446091491273449,0.1460769111701594,-0.23590938935306682,0.4214876033057851,0.004092929222673368
lightgbm_lambdarank,20,2023,242,-0.13705664880765764,0.11529174367170106,-1.1887811255412462,0.1115702479338843,-0.08999757329392094
lightgbm_lambdarank,20,2024,242,-0.04564221779504931,0.16652196909298714,-0.2740912688196856,0.2975206611570248,-0.018465908255731904
lightgbm_lambdarank,20,2025,243,0.05423642644584468,0.14064585499942617,0.38562406582167646,0.5596707818930041,0.07528448155550795
lightgbm_regression,1,2020,243,0.029416039037815093,0.14836376379179725,0.19826970067364555,0.551440329218107,0.0024172396926498163
lightgbm_regression,1,2021,243,0.047923717523904306,0.15256488899814105,0.3141202267350533,0.6131687242798354,0.03492955582188675
lightgbm_regression,1,2022,242,0.02462328123006941,0.18065240893961096,0.13630198110616146,0.5619834710743802,0.019672522121806108
lightgbm_regression,1,2023,242,0.012537231558737405,0.13287534628681208,0.09435333121673098,0.49586776859504134,6.373545707448572e-05
lightgbm_regression,1,2024,242,0.03341147457120113,0.2118550008780088,0.15770916160926624,0.5578512396694215,0.017487675478053678
lightgbm_regression,1,2025,243,0.02677446736018025,0.24656778735015403,0.10858866702712261,0.5308641975308642,0.00387335292146958
lightgbm_regression,5,2020,243,0.02147412575226139,0.13912872612309687,0.15434717438052106,0.5637860082304527,-0.006323792021235644
lightgbm_regression,5,2021,243,0.035736894675426026,0.1367165298231923,0.26139410297820254,0.6296296296296297,0.025092004734231538
lightgbm_regression,5,2022,242,0.023590848959692327,0.15459641682725292,0.1525963501861295,0.5743801652892562,0.037613160643333275
lightgbm_regression,5,2023,242,0.0391741705475571,0.15960066808299378,0.2454511689586799,0.5743801652892562,0.007783077363939398
lightgbm_regression,5,2024,242,0.07111686271966396,0.23701389877511547,0.30005355418899443,0.5909090909090909,0.04953140422425205
lightgbm_regression,5,2025,243,0.008445783057739381,0.25376800218963136,0.03328151297588796,0.4897119341563786,-0.025527965117057985
lightgbm_regression,20,2020,243,0.01426648420911642,0.1385441870923938,0.10297425325829251,0.49382716049382713,-0.008796336515574408
lightgbm_regression,20,2021,243,0.046500550105520295,0.11820983094236141,0.39337295159650265,0.6419753086419753,0.020905358675404218
lightgbm_regression,20,2022,242,0.030088593841527123,0.1112969228990336,0.27034524457448755,0.5413223140495868,0.0401764049984444
lightgbm_regression,20,2023,242,0.10782504536272094,0.15458504712983734,0.6975127760717875,0.7644628099173554,0.060910138055490066
lightgbm_regression,20,2024,242,0.09547283341131214,0.2596598680036136,0.36768420990641293,0.6818181818181818,0.06446555878348877
lightgbm_regression,20,2025,243,-0.031336798709561284,0.27430902873968904,-0.1142390349072285,0.38271604938271603,-0.05609598543166319
ridge,1,2020,243,0.02162959713442759,0.18146568282839515,0.11919387069389774,0.5637860082304527,-0.008893241413467218
