model,horizon,regime_dimension,regime,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
lightgbm_lambdarank,1,market,bear,333,-0.02573750226592972,0.22555505859410713,-0.11410740431339696,0.47147147147147145,-0.00816770461572102
lightgbm_lambdarank,1,market,bull,297,-0.04192762297618759,0.26230549580187384,-0.15984271640216266,0.44107744107744107,-0.0025861288180924666
lightgbm_lambdarank,1,market,sideways,825,-0.02047855826515349,0.23397201013198288,-0.08752567562932677,0.4715151515151515,0.005189870273250732
lightgbm_lambdarank,1,volatility,high_volatility,676,-0.012790117696561028,0.24835039822296762,-0.051500290670273584,0.4911242603550296,0.010265794772476418
lightgbm_lambdarank,1,volatility,low_volatility,779,-0.037576101777097165,0.2284694923129248,-0.1644687936086924,0.4428754813863928,-0.00788955094579046
lightgbm_lambdarank,5,market,bear,333,-0.01108238438717372,0.22193940007998023,-0.049934281083845254,0.4924924924924925,0.0076486277607983235
lightgbm_lambdarank,5,market,bull,297,-0.04537487522566227,0.22729539327289106,-0.19962954185870874,0.4276094276094276,-0.00455870939659848
lightgbm_lambdarank,5,market,sideways,825,-0.02099170760201643,0.21062813062980856,-0.09966241232473645,0.4703030303030303,0.0028714046530182954
lightgbm_lambdarank,5,volatility,high_volatility,676,-0.014300536084651101,0.21693342927231513,-0.06592131112581884,0.47928994082840237,0.007917373804665732
lightgbm_lambdarank,5,volatility,low_volatility,779,-0.031858495919627666,0.21666796661107404,-0.1470383297444919,0.4557124518613607,-0.0022980481382000612
lightgbm_lambdarank,20,market,bear,333,-0.016297187593098086,0.163953267526654,-0.09940141992259251,0.42342342342342343,0.00871856843310026
lightgbm_lambdarank,20,market,bull,297,-0.017937413156327044,0.166278089260215,-0.10787598796769966,0.41414141414141414,0.012041696894123839
lightgbm_lambdarank,20,market,sideways,825,-0.027448855638126775,0.1532227076331383,-0.17914352292904046,0.3903030303030303,-0.0012603873115887316
lightgbm_lambdarank,20,volatility,high_volatility,671,-0.020803979955023023,0.14390634436446123,-0.1445661068447009,0.4098360655737705,0.0014003680612488026
lightgbm_lambdarank,20,volatility,low_volatility,784,-0.02479618689740425,0.16993577226199622,-0.14591505112399206,0.39668367346938777,0.005740051995686878
lightgbm_regression,1,market,bear,333,0.007829258485611388,0.169384708665994,0.04622175488727103,0.5015015015015015,0.0026559330675208844
lightgbm_regression,1,market,bull,297,0.054682111515269166,0.2039880702518775,0.2680652424808449,0.6195286195286195,0.029815792956984007
lightgbm_regression,1,market,sideways,825,0.02852175413139394,0.179618570039665,0.1587906758476894,0.5478787878787879,0.011254511090931976
lightgbm_regression,1,volatility,high_volatility,676,0.031652660659351045,0.20024010780498758,0.1580735298553542,0.5650887573964497,0.01950978070554424
lightgbm_regression,1,volatility,low_volatility,779,0.02693322047294253,0.16700645362536917,0.16127053708570716,0.540436456996149,0.007491753674941827
lightgbm_regression,5,market,bear,333,0.021239683145182455,0.17405832359538345,0.12202624216096837,0.5405405405405406,0.01659863452792494
lightgbm_regression,5,market,bull,297,0.04663000441214112,0.21462218926177665,0.2172655333194187,0.5656565656565656,0.008007772194579621
lightgbm_regression,5,market,sideways,825,0.03325102175529706,0.18100901311570466,0.18369815504182838,0.5842424242424242,0.01627177690454878
lightgbm_regression,5,volatility,high_volatility,676,0.028092328971549205,0.18884502809666295,0.14875863693467087,0.591715976331361,0.015858846957436154
lightgbm_regression,5,volatility,low_volatility,779,0.03769397222221372,0.18520594480956024,0.20352463448715377,0.55198973042362,0.013619113020045003
lightgbm_regression,20,market,bear,333,0.01871841767637928,0.176857525241466,0.10583896642691776,0.5195195195195195,0.0012189114197912341
lightgbm_regression,20,market,bull,297,0.03986497352674974,0.23058345707907377,0.17288739631082417,0.6127946127946128,0.013022329033784094
lightgbm_regression,20,market,sideways,825,0.0552217495773575,0.18451758046433728,0.2992763585908309,0.6,0.030425754356092787
lightgbm_regression,20,volatility,high_volatility,671,0.05541055471659448,0.1693015028730341,0.32728920757513325,0.61698956780924,0.029667935512676387
lightgbm_regression,20,volatility,low_volatility,784,0.03373799924765818,0.21179949768089681,0.15929215893839757,0.5561224489795918,0.012076010000758999
ridge,1,market,bear,333,0.006168195124910272,0.18756722332185394,0.03288525050203481,0.5285285285285285,-0.0033961280511934757
ridge,1,market,bull,297,0.05617747470035836,0.23672066282662776,0.23731546722434735,0.5892255892255892,0.02513842194717242
ridge,1,market,sideways,825,0.025635790597106675,0.19501281416835034,0.13145695428494178,0.56,0.004186879184054801
ridge,1,volatility,high_volatility,676,0.02957820854824083,0.22023344283386934,0.13430389212301796,0.5710059171597633,0.010095436960772195
ridge,1,volatility,low_volatility,779,0.025537069610531142,0.18717620836694335,0.1364333097316933,0.5481386392811296,0.0038059828223696865
ridge,5,market,bear,333,0.012316211433927698,0.18782345450911553,0.06557334101918545,0.5045045045045045,0.007940370269895565
