test_year,horizon,factor_name,neutralization,ic_dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_ratio
2020,1,roe_rank,raw,243,0.019951421180719443,0.14135955851349347,0.14113952668305046,0.5432098765432098
2020,1,roic_rank,raw,243,0.025377156251419987,0.1534635504621444,0.16536275991920238,0.5679012345679012
2020,1,debt_ratio_rank,raw,243,0.018313913380927936,0.18388110927298135,0.09959649174043186,0.5802469135802469
2020,1,revenue_growth_rank,raw,243,0.011332660082403346,0.11415153695051687,0.09927733244026227,0.5267489711934157
2020,1,profit_growth_rank,raw,243,0.014631652720026159,0.12198993085365437,0.11994147892074035,0.5432098765432098
2020,1,operating_cash_margin_rank,raw,243,0.008559297775628865,0.08236897324494147,0.10391410064292039,0.5555555555555556
2020,1,gross_margin_rank,raw,243,0.021995930751587033,0.13713396038767278,0.16039740039159758,0.6008230452674898
2020,1,fundamental_coverage,raw,243,0.007504793293048516,0.1776441637422842,0.0422462136382709,0.51440329218107
2020,1,book_to_price_rank,raw,243,-0.026555833954511457,0.18644420185476832,-0.1424331445565535,0.40329218106995884
2020,1,earnings_yield_rank,raw,243,-0.014045752403594404,0.14983163483672213,-0.09374357036750386,0.4403292181069959
2020,1,quality,raw,243,0.026455739290279844,0.15560965935157725,0.17001347731574282,0.5925925925925926
2020,1,growth,raw,243,0.014239076543678965,0.12490392132498161,0.11400023628266229,0.5637860082304527
2020,1,momentum,raw,243,-0.007766808564510804,0.1964644269215021,-0.039532900109260256,0.51440329218107
2020,1,short_reversal,raw,243,0.02805337553621458,0.17648346738658202,0.15895752702299565,0.5473251028806584
2020,1,volume_attention,raw,243,-0.01511150869748431,0.14898659918694315,-0.10142864378374676,0.4691358024691358
2020,1,low_volatility,raw,243,-0.004529795711944405,0.25714758409866045,-0.01761554839343327,0.48148148148148145
2020,1,liquidity,raw,243,-0.004833369311501143,0.1409219176604459,-0.03429820848128991,0.4897119341563786
2020,1,industry_momentum,raw,243,-0.0036302129620361338,0.12427297440658254,-0.029211604368293346,0.5061728395061729
2020,1,roe_change_rank,raw,243,0.011697683669312366,0.09412810094459585,0.12427408554856181,0.51440329218107
2020,1,roic_change_rank,raw,243,0.010057082106081278,0.08884363083589171,0.11319980972702821,0.5761316872427984
2020,1,debt_ratio_change_rank,raw,243,-0.007706887735072701,0.07219901346309542,-0.106745055997366,0.4773662551440329
2020,1,revenue_growth_change_rank,raw,243,0.012776164663241205,0.08229938557543603,0.15524009777121006,0.5720164609053497
2020,1,profit_growth_change_rank,raw,243,0.01192480032852142,0.09599029519997011,0.12422922862857423,0.5802469135802469
2020,1,operating_cash_margin_change_rank,raw,243,0.0015996341296372093,0.08279130236745937,0.01932128235569267,0.49382716049382713
2020,1,gross_margin_change_rank,raw,243,0.008624043711294006,0.07368286366246812,0.11704273263318944,0.5843621399176955
2020,1,fundamental_freshness_rank,raw,243,-0.015286895378048034,0.08566757883557687,-0.17844434949408822,0.43209876543209874
2020,1,benchmark_weight_rank,raw,243,0.020226566101752615,0.12673521267753401,0.1595970502153749,0.5390946502057613
2020,1,momentum_120_rank,raw,243,0.021651281508595563,0.2140993363980734,0.10112727051306449,0.5432098765432098
2020,1,volatility_60_rank,raw,243,-0.003502276575634832,0.2711844279920168,-0.012914740723010588,0.4732510288065844
2020,1,downside_volatility_60_rank,raw,243,-0.004984531094108792,0.2703976518637226,-0.01843407684849623,0.4691358024691358
2020,1,drawdown_120_rank,raw,243,0.011957687151839522,0.19796162817597815,0.06040406548490158,0.551440329218107
2020,1,price_position_120_rank,raw,243,0.01676098486338362,0.20212664432732222,0.0829231837255509,0.5308641975308642
2020,1,volume_trend_60_rank,raw,243,-0.01352077685025912,0.14175580376057934,-0.09538076390223321,0.4691358024691358
2020,1,intraday_strength_20_rank,raw,243,-0.009223722915199111,0.1829827505417268,-0.050407608847784606,0.5061728395061729
2020,1,overnight_gap_20_rank,raw,243,0.005927967575206522,0.1349196598037352,0.043937018399170386,0.5432098765432098
2020,1,technology_momentum_rank,raw,243,0.004073009193784885,0.09436398687197389,0.043162750205868725,0.5267489711934157
2020,1,technology_growth_rank,raw,243,0.0044714199391872175,0.08553627389386094,0.05227513118861889,0.5390946502057613
2020,1,technology_quality_rank,raw,243,-0.0002055561450148885,0.07549612612850924,-0.002722737649677436,0.4897119341563786
2020,1,technology_valuation_rank,raw,243,-0.009392376983615695,0.07648908267030811,-0.12279369363206746,0.4156378600823045
2020,1,deducted_profit_growth_rank,raw,243,0.011063208242423468,0.12217884278107237,0.09054929634787269,0.5432098765432098
2020,1,gross_margin_yoy_rank,raw,243,0.007826221427227685,0.0829369890153498,0.09436346219151054,0.5596707818930041
2020,1,receivables_turnover_rank,raw,243,0.005668329255650319,0.13050709351396644,0.043433112354492154,0.5308641975308642
2020,1,inventory_turnover_rank,raw,243,-0.0045218247030650955,0.07166917849277857,-0.06309301708433449,0.4732510288065844
2020,1,fixed_asset_turnover_rank,raw,243,0.001072209325252274,0.09855598766609043,0.010879190099387363,0.5061728395061729
2020,1,cash_ratio_rank,raw,243,0.020864124395779372,0.13340736279889104,0.15639409968122694,0.5679012345679012
2020,1,interest_debt_ratio_rank,raw,243,0.015052273117929992,0.15933465365670585,0.09446955054963019,0.5720164609053497
2020,1,operating_cycle_rank,raw,243,-0.0001667809648552041,0.0756041245292445,-0.0022059770666439157,0.4691358024691358
2020,1,staff_average_revenue_rank,raw,179,-0.0064847419267349445,0.08459733068539346,-0.07665421443202342,0.5083798882681564
2020,1,staff_average_profit_rank,raw,179,-0.004869903736613309,0.08801674280803935,-0.055329288283643425,0.4748603351955307
2020,1,fcff_back_rank,raw,243,0.008409074249383093,0.09123610121333656,0.09216827700386089,0.5267489711934157
2020,1,deducted_profit_growth_change_rank,raw,243,0.009301325946563826,0.08968193544819443,0.10371459871020314,0.5720164609053497
2020,1,gross_margin_yoy_change_rank,raw,243,0.005746870410365604,0.07336564553728679,0.07833190000958772,0.5390946502057613
2020,1,receivables_turnover_change_rank,raw,243,-0.00029883156744401777,0.09669293677288841,-0.003090521163359749,0.49794238683127573
2020,1,inventory_turnover_change_rank,raw,243,0.0038022467170789474,0.07654690661881274,0.04967211458999023,0.5061728395061729
2020,1,fixed_asset_turnover_change_rank,raw,243,0.0022364452786938945,0.08815306395862282,0.025370023210351877,0.522633744855967
2020,1,cash_ratio_change_rank,raw,243,0.012235882152257896,0.07806907282905101,0.15673149057439154,0.5637860082304527
2020,1,interest_debt_ratio_change_rank,raw,243,-0.006331455983813285,0.07751562510204585,-0.08167973844599985,0.48148148148148145
2020,1,operating_cycle_change_rank,raw,243,0.004839058707464796,0.0836939209319722,0.057818520790752094,0.5267489711934157
2020,1,staff_average_revenue_change_rank,raw,0,,,0.0,
2020,1,staff_average_profit_change_rank,raw,0,,,0.0,
2020,1,fcff_back_change_rank,raw,243,0.0038502353992271375,0.0809132356490281,0.04758474146217616,0.5349794238683128
2020,5,roe_rank,raw,243,0.04752706972348457,0.14828149269950985,0.3205192290571113,0.6255144032921811
2020,5,roic_rank,raw,243,0.05610048306843418,0.16997345841259526,0.3300543719729189,0.6502057613168725
2020,5,debt_ratio_rank,raw,243,0.040515353823701486,0.18606204615966823,0.21775184493528268,0.6337448559670782
