test_year,factor_name,ic_dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_ratio,direction_consistency,hac_t_stat,p_value,turnover_proxy,fdr_q_value,passes_statistical_gate,redundant_with,selected,rejection_reason
2020,roe_rank,1939,0.01986787329447623,0.1760954484114618,0.11282445670062564,0.5451263537906137,0.875,2.58413900587123,0.00976224401668535,0.007005302388203162,0.023819875400712256,True,,False,MAX_FACTOR_CAP
2020,roic_rank,1939,0.016855672007412933,0.1664114186652049,0.10128915517104056,0.5471892728210418,0.875,2.3082626208584185,0.020984534103932972,0.006243545686736585,0.042668552677997046,True,,False,MAX_FACTOR_CAP
2020,debt_ratio_rank,1939,0.0008499733804879388,0.18093502789573987,0.0046976718127665065,0.515214027849407,0.375,0.1079771401549394,0.9140138256871013,0.0017922542866872333,0.929247389448553,False,,False,STATISTICAL_GATE
2020,revenue_growth_rank,1939,0.018287892112162564,0.13158554205609857,0.13898101437592533,0.5791645177926766,0.75,3.2251175674009063,0.0012592094652383867,0.0037703819782568854,0.0038405888689770793,True,,True,SELECTED
2020,profit_growth_rank,1939,0.023102704701933752,0.1254165628901311,0.18420776466480315,0.5832903558535327,0.875,4.264054044592753,2.007508542467562e-05,0.004060047800535966,0.000136064467878357,True,,True,SELECTED
2020,operating_cash_margin_rank,1939,0.012551241287098162,0.12347252705237458,0.10165209692172394,0.553378029912326,0.75,2.416800994165468,0.01565757488775321,0.004390903965303383,0.03293489890182572,True,,False,MAX_FACTOR_CAP
2020,gross_margin_rank,1939,0.015665663648603032,0.13736484938943888,0.11404419484485284,0.5513151108818979,0.75,2.5944657847889743,0.009473804261697083,0.0017014077534815728,0.023819875400712256,True,,False,MAX_FACTOR_CAP
2020,fundamental_coverage,1939,-0.01241171580239432,0.18535049772532625,-0.06696348784985424,0.47601856627127387,0.75,-1.5888000181207693,0.11210554918908655,2.8626920756279208e-05,0.18482266217660215,False,,False,STATISTICAL_GATE
2020,book_to_price_rank,1939,0.005210668082505512,0.15803368899938497,0.03297188160004156,0.5038679731820526,0.5,0.7525237687151376,0.45173614154785735,0.0036524533482258635,0.586295843285517,False,,False,STATISTICAL_GATE
2020,earnings_yield_rank,1939,0.016047687712783917,0.15214407719737322,0.10547691378065016,0.5523465703971119,0.75,2.4649562686529816,0.013702997479910994,0.006151254678921404,0.03095862393609521,True,,False,MAX_FACTOR_CAP
2020,quality,1939,0.019542216450920254,0.16841632747744165,0.11603516561384357,0.5487364620938628,0.875,2.6433669503541566,0.00820860197531692,0.005491126947366413,0.0217706400214927,True,,False,MAX_FACTOR_CAP
2020,growth,1939,0.022783124875211815,0.13658394613685684,0.16680675525645722,0.5796802475502837,0.75,3.855147075439518,0.00011566007445784621,0.0043449866504737195,0.00044095403387053866,True,,True,SELECTED
