model,horizon,test_year,broad_sector,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
v6,1,2020,cyclical_manufacturing,243,0.02999540194237919,0.17145093326012706,0.17495035676982795,0.5555555555555556,0.014458913108896404
v6,1,2020,finance_real_estate,243,0.0356438187489361,0.24633271890664257,0.14469786598849957,0.5432098765432098,0.018138077391713168
v6,1,2020,healthcare,243,0.030115901853370094,0.2122989537775272,0.14185610111357033,0.5843621399176955,0.022868315692156856
v6,1,2020,other,243,0.027481672068730204,0.19780958394924894,0.13892993210976595,0.5390946502057613,0.019376896796845657
v6,1,2020,technology,243,0.024815753625160687,0.1883155632180541,0.13177749730873844,0.5473251028806584,0.024578248426769294
ridge,1,2020,cyclical_manufacturing,243,0.038610853462287896,0.20883767039643697,0.18488452485125328,0.5637860082304527,0.007063814514961961
ridge,1,2020,finance_real_estate,243,0.03662034665546933,0.3312866553581337,0.11053975782960929,0.5308641975308642,0.019255258979017118
ridge,1,2020,healthcare,243,-0.01383873254912072,0.2858205927800899,-0.048417548975444986,0.45267489711934156,-0.014129785819968987
ridge,1,2020,other,243,0.030957016984116258,0.26406414840471515,0.11723294196177783,0.5432098765432098,0.008193782484795513
ridge,1,2020,technology,243,0.017008010906994633,0.24684866108763034,0.06890055968728488,0.5061728395061729,0.0028684973625796024
lightgbm_regression,1,2020,cyclical_manufacturing,243,0.047914248924294855,0.19387465983074356,0.24714033781477657,0.588477366255144,0.01688851789918957
lightgbm_regression,1,2020,finance_real_estate,243,0.04915892783256653,0.2774865456101043,0.17715787886033085,0.5925925925925926,0.045369303240531816
lightgbm_regression,1,2020,healthcare,243,-0.005508654743441651,0.2733015507094293,-0.020155958607415227,0.5061728395061729,-0.011328582818115144
lightgbm_regression,1,2020,other,243,0.03217643076525819,0.23453076298276676,0.13719492639702238,0.5432098765432098,0.013437495742230467
lightgbm_regression,1,2020,technology,243,0.029638563602713712,0.2276775720775641,0.13017779191977938,0.5432098765432098,0.02228895290092079
lightgbm_lambdarank,1,2020,cyclical_manufacturing,243,0.016904372859696332,0.23958691689213754,0.07055632702726715,0.5308641975308642,0.04333194001292374
lightgbm_lambdarank,1,2020,finance_real_estate,243,-0.0036323424851979905,0.3449886595936342,-0.010528875034549152,0.48559670781893005,0.01205653097849101
lightgbm_lambdarank,1,2020,healthcare,243,0.012622687996937906,0.2892096025551544,0.04364546642095214,0.5432098765432098,0.006936642599917716
lightgbm_lambdarank,1,2020,other,243,-0.0014110172316583488,0.26821659729224984,-0.005260737947998419,0.51440329218107,0.02426718269144936
lightgbm_lambdarank,1,2020,technology,243,0.006542729925952292,0.2464662609950714,0.026546148343132153,0.5061728395061729,0.022384456855620283
v6,5,2020,cyclical_manufacturing,243,0.05338582365910359,0.16913798967886037,0.3156347297284685,0.6213991769547325,0.0315217369241868
v6,5,2020,finance_real_estate,243,0.06438667125310474,0.25796989951031846,0.2495898605818907,0.6049382716049383,0.04251596343587219
v6,5,2020,healthcare,243,0.06558798727492524,0.20993196062834973,0.31242497368486954,0.6337448559670782,0.05320661861017091
v6,5,2020,other,243,0.04023919139424928,0.17600077498512628,0.22863076255005052,0.5761316872427984,0.03014264623914946
v6,5,2020,technology,243,0.01016950880708049,0.19823710572301356,0.05129972398451891,0.5349794238683128,0.014393950974543449
ridge,5,2020,cyclical_manufacturing,243,0.04923734097870912,0.19358529786140127,0.25434442347972586,0.6008230452674898,0.01667927648835765
ridge,5,2020,finance_real_estate,243,0.06378033387303218,0.30376100100264075,0.2099688033108559,0.5967078189300411,0.04984188369457001
ridge,5,2020,healthcare,243,-0.004710065332078354,0.26742453776537384,-0.017612689439182098,0.49382716049382713,0.0029872845861511075
ridge,5,2020,other,243,0.015169253500322818,0.22948872092654035,0.06610021372326406,0.5267489711934157,-0.008548046796902287
ridge,5,2020,technology,243,0.02630893034118089,0.18475830054080072,0.14239647292799715,0.5432098765432098,0.022817480128004483
lightgbm_regression,5,2020,cyclical_manufacturing,243,0.03690464988058946,0.16969439173452716,0.21747713347135086,0.5720164609053497,0.01714717337206386
lightgbm_regression,5,2020,finance_real_estate,243,0.052807157819400354,0.31049033945690563,0.17007665330833813,0.5925925925925926,0.03763045855480438
lightgbm_regression,5,2020,healthcare,243,0.015386370818704708,0.26563223633826594,0.05792358273530903,0.522633744855967,0.02327945369280377
lightgbm_regression,5,2020,other,243,0.017790832384038606,0.21408168840534755,0.0831030085597653,0.522633744855967,-0.004078005474988049
lightgbm_regression,5,2020,technology,243,0.00997957877152088,0.17412575225315832,0.05731248044810597,0.49794238683127573,0.0024186310991538983
lightgbm_lambdarank,5,2020,cyclical_manufacturing,243,0.07510136224617844,0.21604834480417226,0.34761368949274224,0.5720164609053497,0.08292112031771524
lightgbm_lambdarank,5,2020,finance_real_estate,243,0.020046080662768216,0.2785926314320515,0.07195481287399892,0.5020576131687243,0.045462093842886506
lightgbm_lambdarank,5,2020,healthcare,243,0.02822540895466574,0.26284256987808785,0.10738522670721605,0.5349794238683128,0.01337915999644763
lightgbm_lambdarank,5,2020,other,243,0.05787705134256487,0.23490751868125967,0.24638228553721536,0.6131687242798354,0.07325146720837757
lightgbm_lambdarank,5,2020,technology,243,0.014842862717670437,0.22938028242979044,0.0647085379808685,0.522633744855967,0.021322737964263292
v6,20,2020,cyclical_manufacturing,243,0.07550008638000424,0.13386412137346224,0.5640053929713513,0.7037037037037037,0.05514101550939533
v6,20,2020,finance_real_estate,243,0.025576349011723776,0.2433412213074995,0.10510487649523251,0.5761316872427984,0.021741954712730036
v6,20,2020,healthcare,243,0.1296364062171899,0.20902376380581486,0.6201993680375184,0.7366255144032922,0.11807826214123693
v6,20,2020,other,243,0.07767764618894443,0.1727453527746701,0.4496656201817918,0.6748971193415638,0.052284519777281796
v6,20,2020,technology,243,0.035134431786520134,0.17232010365221237,0.20389049821737995,0.551440329218107,0.031247951666253857
ridge,20,2020,cyclical_manufacturing,243,0.03937957157671899,0.1888650479656236,0.2085064017980007,0.6255144032921811,0.016930890604183443
ridge,20,2020,finance_real_estate,243,0.0029036132768933075,0.2515820658109502,0.011541415988988698,0.5020576131687243,0.004943913858556758
ridge,20,2020,healthcare,243,0.0004839561146592753,0.2344304638290613,0.00206439089337877,0.4609053497942387,0.021777689007325567
ridge,20,2020,other,243,0.01631717916952288,0.19923413704719647,0.08189951486906841,0.49794238683127573,-0.03395682777986747
ridge,20,2020,technology,243,0.02533041213353264,0.1880734202751385,0.13468363629733532,0.5802469135802469,0.04483312129878857
lightgbm_regression,20,2020,cyclical_manufacturing,243,0.061777655912327645,0.1799585147345525,0.3432883184407955,0.6213991769547325,0.045688651184171473
lightgbm_regression,20,2020,finance_real_estate,243,0.02040215974552054,0.2876388148933101,0.07092978655571235,0.6008230452674898,0.018284165812751153
lightgbm_regression,20,2020,healthcare,243,0.04295067906984171,0.20478544259536488,0.20973502083694426,0.5473251028806584,0.05781001085220215
lightgbm_regression,20,2020,other,243,0.02910960084889166,0.20375197987865037,0.14286781834575848,0.5308641975308642,0.006667721310501511
lightgbm_regression,20,2020,technology,243,-0.005015665587364786,0.17485093126892956,-0.028685381032660554,0.448559670781893,0.004914369381355824
lightgbm_lambdarank,20,2020,cyclical_manufacturing,243,0.13096422230795543,0.17180550347660276,0.7622818807186275,0.7777777777777778,0.12897658051244915
lightgbm_lambdarank,20,2020,finance_real_estate,243,-0.032777575239697966,0.18277820171314163,-0.17932978294173293,0.4279835390946502,0.012021892691990008
lightgbm_lambdarank,20,2020,healthcare,243,0.08982064812982687,0.2779454437702421,0.3231592751132674,0.5720164609053497,0.09589209177892141
lightgbm_lambdarank,20,2020,other,243,0.09009912914596693,0.24180785488883702,0.37260629596746125,0.691358024691358,0.08714520890702351
lightgbm_lambdarank,20,2020,technology,243,0.06333537846537275,0.2206078924528957,0.28709479865456833,0.5761316872427984,0.06340980801238032
v6,1,2021,consumer,104,-0.004940206455751548,0.26246753129276007,-0.018822162236292652,0.47115384615384615,-0.0026697978886156774
v6,1,2021,cyclical_manufacturing,243,0.014449690108637815,0.2149843798707006,0.06721274409484253,0.5349794238683128,0.01758372260861533
v6,1,2021,finance_real_estate,243,0.014315287619301505,0.2759513737603134,0.051876123768586545,0.49794238683127573,0.005970250120356525
v6,1,2021,healthcare,243,0.009234917038866941,0.2471693479424925,0.03736271150019612,0.5390946502057613,0.005388180211222742
v6,1,2021,other,139,0.007321149451500838,0.21196179255211847,0.034539948749021214,0.5179856115107914,0.003879827757628576
v6,1,2021,technology,243,0.014246216285762902,0.205993343923869,0.06915862432442485,0.5185185185185185,0.009240487381445575
ridge,1,2021,consumer,104,0.026922820045738607,0.2562569059654891,0.10506183216527396,0.5865384615384616,0.032545879178629826
ridge,1,2021,cyclical_manufacturing,243,0.051739820647206294,0.18494768002030879,0.2797538235760775,0.6008230452674898,0.03412625642371291
ridge,1,2021,finance_real_estate,243,0.03451884008965068,0.2959397026772653,0.11664146370821668,0.5390946502057613,0.01856975538733446
ridge,1,2021,healthcare,243,0.01570455030640112,0.23362095741786942,0.06722235230939044,0.5020576131687243,-0.0006976602676550986
ridge,1,2021,other,139,0.02350928115808702,0.2496929376509458,0.09415276771244302,0.539568345323741,0.005499909736358203
ridge,1,2021,technology,243,0.03754119730537344,0.17582383489101305,0.2135159736940324,0.5637860082304527,0.0218965860137048
lightgbm_regression,1,2021,consumer,104,0.016778341576817513,0.24247346281124135,0.06919660973324314,0.5,0.03431131320973302
lightgbm_regression,1,2021,cyclical_manufacturing,243,0.05880183327680162,0.20762803155281437,0.2832075844337242,0.6378600823045267,0.05170252227019564
lightgbm_regression,1,2021,finance_real_estate,243,0.024035488698115004,0.28400453420431354,0.08463065128679888,0.5185185185185185,0.018660887716067467
lightgbm_regression,1,2021,healthcare,243,0.02330681514114438,0.23894681679189186,0.09753975991001879,0.5267489711934157,0.012678587100505127
lightgbm_regression,1,2021,other,139,0.0372447840937954,0.2513811879167324,0.14816058593108555,0.5827338129496403,0.03493440970545365
lightgbm_regression,1,2021,technology,243,0.03763368878908775,0.1729936456996514,0.21754376374278347,0.5637860082304527,0.02560098769207828
lightgbm_lambdarank,1,2021,consumer,104,-0.014225423410728534,0.27538514911212736,-0.05165646534169652,0.4807692307692308,0.0018688637486943976
lightgbm_lambdarank,1,2021,cyclical_manufacturing,243,-0.007891045970660529,0.3139438447751583,-0.025135214790759707,0.49382716049382713,0.021046263245636965
lightgbm_lambdarank,1,2021,finance_real_estate,243,-0.018692361795244417,0.3036248599834578,-0.0615640030143211,0.4773662551440329,-0.008879397104793456
lightgbm_lambdarank,1,2021,healthcare,243,-0.008635224284580335,0.2754421449606778,-0.03135041039494193,0.5061728395061729,0.011528822245137117
lightgbm_lambdarank,1,2021,other,139,0.026324608277038853,0.354131863072227,0.07433561060748102,0.5323741007194245,0.04409306859556361
lightgbm_lambdarank,1,2021,technology,243,0.006798839335061006,0.2242354719571633,0.03032008841295109,0.5102880658436214,0.019248831311899733
v6,5,2021,consumer,104,-0.04264045451116389,0.26949844945640766,-0.1582215207440781,0.5,-0.041743497491162726
v6,5,2021,cyclical_manufacturing,243,-0.001641525715847324,0.22555684870605916,-0.007277658493919309,0.5061728395061729,0.007940870755124577
v6,5,2021,finance_real_estate,243,-0.0062164853063070334,0.2723806282030963,-0.022822787902786575,0.4897119341563786,-0.01729346032035501
v6,5,2021,healthcare,243,-0.015314943853477378,0.27159507470899186,-0.056388886543274036,0.5349794238683128,-0.02385078867532111
v6,5,2021,other,139,-0.02688115178750538,0.2030498535314405,-0.13238695482901724,0.4172661870503597,-0.03235343652924497
v6,5,2021,technology,243,-0.03089965735350177,0.23203282453750318,-0.13316933677419204,0.45267489711934156,-0.027282280020952718
ridge,5,2021,consumer,104,0.019162816588445878,0.2843087660459678,0.06740142717002115,0.5384615384615384,0.024831753988701757
ridge,5,2021,cyclical_manufacturing,243,0.04375444652774128,0.1788388855385611,0.24465846113935316,0.6172839506172839,0.027139562477723388
ridge,5,2021,finance_real_estate,243,0.021948834305834906,0.30009982889364695,0.07313844325320626,0.5102880658436214,0.004528883900719099
ridge,5,2021,healthcare,243,-0.0026122140454248343,0.22918390303717384,-0.01139789492546137,0.49382716049382713,-0.018293386527155668
ridge,5,2021,other,139,-0.03828901860970906,0.2521327510138882,-0.15186055145846558,0.4172661870503597,-0.045713484036880386
ridge,5,2021,technology,243,0.013224825282096958,0.20442664004785657,0.06469227924012745,0.5061728395061729,0.007751753449402837
lightgbm_regression,5,2021,consumer,104,-0.0012346920813740036,0.2850103833423723,-0.00433209508683343,0.4326923076923077,0.004116493045963619
lightgbm_regression,5,2021,cyclical_manufacturing,243,0.04668316020526954,0.17829697292278862,0.26182811429718245,0.6296296296296297,0.037775204358292375
lightgbm_regression,5,2021,finance_real_estate,243,0.03442379378051349,0.28162487280564735,0.12223278944637023,0.5390946502057613,0.018657395728756673
lightgbm_regression,5,2021,healthcare,243,0.0005430930059211397,0.22774157086046218,0.0023846898213145903,0.4897119341563786,-0.009423105391614697
lightgbm_regression,5,2021,other,139,-0.0012581622815519826,0.23080577063973132,-0.005451173417651977,0.4892086330935252,-0.028218912705831895
lightgbm_regression,5,2021,technology,243,0.013415315091367716,0.20510148661630234,0.06540818066552917,0.49382716049382713,0.013958312658676093
lightgbm_lambdarank,5,2021,consumer,104,-0.030125680955200403,0.29694847835373367,-0.10145086825234988,0.47115384615384615,-0.036993778425203974
lightgbm_lambdarank,5,2021,cyclical_manufacturing,243,-0.018243458550784346,0.27867059083388884,-0.06546603463319524,0.4732510288065844,0.011619745990240864
lightgbm_lambdarank,5,2021,finance_real_estate,243,-0.03094097012612504,0.2743863116353447,-0.11276426269851655,0.43621399176954734,0.008786096547872577
lightgbm_lambdarank,5,2021,healthcare,243,-0.042482022428364886,0.2924466100189992,-0.14526419856809072,0.4691358024691358,-0.02688173061531187
lightgbm_lambdarank,5,2021,other,139,0.0027992648763733616,0.30779802287370756,0.00909448621611818,0.5323741007194245,0.012485876484461604
lightgbm_lambdarank,5,2021,technology,243,-0.01717298657789161,0.19144283654405742,-0.08970294677983175,0.45267489711934156,-0.010822429984852631
v6,20,2021,consumer,102,-0.1530532038070065,0.21660640641251216,-0.7065959236474616,0.2549019607843137,-0.13368452495324057
v6,20,2021,cyclical_manufacturing,243,-0.030729468061459604,0.21941875028856136,-0.14004941702131998,0.4732510288065844,-0.01154022551154419
v6,20,2021,finance_real_estate,243,-0.029589518076991533,0.23540509956770705,-0.1256961643198431,0.5185185185185185,-0.03717140436638739
v6,20,2021,healthcare,243,-0.04327404797920787,0.23977904988087906,-0.1804746828411664,0.4279835390946502,-0.05242076333929533
v6,20,2021,other,139,-0.05838488263229131,0.176914208199548,-0.33001805353268665,0.37410071942446044,-0.06546625146578337
v6,20,2021,technology,243,-0.08622935019594537,0.21832311062375787,-0.39496208142868916,0.32510288065843623,-0.08122294535595033
ridge,20,2021,consumer,102,-0.1080391632417477,0.21533237555646126,-0.501732091900037,0.3235294117647059,-0.08718897690300985
ridge,20,2021,cyclical_manufacturing,243,0.08390556811809817,0.14491236571314392,0.5790090286993894,0.7407407407407407,0.059010966818036914
ridge,20,2021,finance_real_estate,243,0.03384392000105831,0.18564597963878454,0.1823035439114231,0.5473251028806584,0.013998621657690283
ridge,20,2021,healthcare,243,0.03458919427023399,0.17524083244150185,0.19738090596996227,0.588477366255144,0.006803633500325854
ridge,20,2021,other,139,-0.09574262021275924,0.22314954235416956,-0.42905138501607276,0.3237410071942446,-0.09592895640886234
ridge,20,2021,technology,243,-0.03428556826798151,0.21115634869804256,-0.1623705300805826,0.448559670781893,-0.03497194765096485
lightgbm_regression,20,2021,consumer,102,-0.09936501332382339,0.2884306726804334,-0.344502241735971,0.4411764705882353,-0.0713736465475972
lightgbm_regression,20,2021,cyclical_manufacturing,243,0.0718129862345757,0.15738081677242602,0.4563007595672723,0.7078189300411523,0.04668389285289703
lightgbm_regression,20,2021,finance_real_estate,243,0.05898385710271592,0.18453969875107415,0.3196269285248987,0.6131687242798354,0.025629428831734066
lightgbm_regression,20,2021,healthcare,243,0.04608032643323189,0.18660771164375453,0.24693688180048012,0.6172839506172839,0.05010489132103261
lightgbm_regression,20,2021,other,139,-0.04769900050346159,0.2297960731655673,-0.20757099913145435,0.31654676258992803,-0.08404473955544335
lightgbm_regression,20,2021,technology,243,-0.04498508436954008,0.21130262812075962,-0.2128941072319795,0.4403292181069959,-0.05285512542673588
lightgbm_lambdarank,20,2021,consumer,102,-0.1495443444696372,0.22376830111860394,-0.6682999500915646,0.3235294117647059,-0.13477029752805025
lightgbm_lambdarank,20,2021,cyclical_manufacturing,243,-0.004565758068554744,0.18614925542398533,-0.024527404410807255,0.48148148148148145,0.02524977994604913
lightgbm_lambdarank,20,2021,finance_real_estate,243,-0.06633249750962808,0.21739378237635346,-0.305126010433881,0.3786008230452675,0.000829000130648654
lightgbm_lambdarank,20,2021,healthcare,243,-0.031869449583591836,0.28196943752205855,-0.11302448188590893,0.45267489711934156,-0.02629620876944339
lightgbm_lambdarank,20,2021,other,139,0.015504851552978567,0.21649917340907063,0.07161621593668849,0.5899280575539568,0.05072102471847613
lightgbm_lambdarank,20,2021,technology,243,-0.08289318876282906,0.1655898965300661,-0.5005932759175206,0.3374485596707819,-0.08739690091985783
v6,1,2022,consumer,114,0.029908764004873845,0.3281451650893337,0.09114491751457478,0.5789473684210527,0.019665889371063717
v6,1,2022,cyclical_manufacturing,242,-0.012500283887988663,0.2509683168605686,-0.049808215014381645,0.48760330578512395,-0.005666257623327013
v6,1,2022,finance_real_estate,242,-0.010344649009040169,0.3103650362878385,-0.03333058753256711,0.49173553719008267,-0.011017356463383367
v6,1,2022,healthcare,242,0.01833348759388832,0.24382679791436082,0.07519061789232692,0.5247933884297521,0.01825164301614887
v6,1,2022,technology,242,-0.008347998017706018,0.2274709440126395,-0.036699183950466036,0.47107438016528924,-0.003081633814804803
ridge,1,2022,consumer,114,0.019231378842362822,0.28933077243866384,0.06646848753856538,0.5,0.020354498210421162
ridge,1,2022,cyclical_manufacturing,242,0.02327334415723286,0.2324708661446054,0.10011294982123044,0.5165289256198347,0.01650596430619489
ridge,1,2022,finance_real_estate,242,-0.001024834715634603,0.30499403734425984,-0.003360179512223802,0.5082644628099173,0.0008201031920878387
