experiment_id,score,year,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
A_GEN2_BASELINE,gen2_baseline,2020,243,0.01426648420911642,-0.007605800291893713,0.1385441870923938,0.10297425325829251,0.49382716049382713,-0.008796336515574408,1.6052097466334487
A_GEN2_BASELINE,gen2_baseline,2021,243,0.046500550105520295,0.04609403990072238,0.11820983094236141,0.39337295159650265,0.6419753086419753,0.020905358675404218,6.132077446396278
A_GEN2_BASELINE,gen2_baseline,2022,242,0.030088593841527123,0.01513245971712187,0.1112969228990336,0.27034524457448755,0.5413223140495868,0.0401764049984444,4.205585025403429
A_GEN2_BASELINE,gen2_baseline,2023,242,0.10782504536272094,0.11822767015691019,0.15458504712983734,0.6975127760717875,0.7644628099173554,0.060910138055490066,10.850752306341525
A_GEN2_BASELINE,gen2_baseline,2024,242,0.09547283341131214,0.12490315835625054,0.2596598680036136,0.36768420990641293,0.6818181818181818,0.06446555878348877,5.7198239595209355
A_GEN2_BASELINE,gen2_baseline,2025,222,0.001248770082136381,-0.08578853097782241,0.2636669083502141,0.004736165376042219,0.4189189189189189,-0.030075133029396853,0.07056727476789146
B1_SHALLOW_REG,lgbm_shallow,2020,243,0.012936317877356255,-0.0016042247371935141,0.1373174461042406,0.0942073876580549,0.49382716049382713,-0.020910803968063614,1.4685478368487945
B1_SHALLOW_REG,lgbm_shallow,2021,243,0.04094898432710831,0.044893865200069875,0.12431324706092939,0.32940161483384045,0.6296296296296297,0.015475486751930882,5.13486299688701
B1_SHALLOW_REG,lgbm_shallow,2022,242,0.023463064319755318,0.013050155203285972,0.10589489575798194,0.22156936037199662,0.5454545454545454,0.038212285376850966,3.4468103388885036
B1_SHALLOW_REG,lgbm_shallow,2023,242,0.12668862670490974,0.1352947576160109,0.178578733756261,0.709427287561714,0.7520661157024794,0.07475394483310789,11.036098607460671
B1_SHALLOW_REG,lgbm_shallow,2024,242,0.09679662260985193,0.13701789952850493,0.29108403054755666,0.3325384165794609,0.6735537190082644,0.059481708809703215,5.173083726104225
B1_SHALLOW_REG,lgbm_shallow,2025,222,-0.017460042296915772,-0.0948301937972361,0.281969573494665,-0.061921724675893526,0.4099099099099099,-0.042080896051528136,-0.9226129183345797
B2_STRONG_REG,lgbm_strong_reg,2020,243,0.00856549754049779,-0.006303170670905207,0.13684924920249422,0.06259075289352538,0.4773662551440329,-0.03004067124703043,0.975693276860172
B2_STRONG_REG,lgbm_strong_reg,2021,243,0.042292411974589994,0.04902811327528121,0.1220515429707149,0.34651271868588873,0.6213991769547325,0.0172531728800805,5.401598708095027
B2_STRONG_REG,lgbm_strong_reg,2022,242,0.016818574128975375,0.013793981644996242,0.11070189763067038,0.1519267012484863,0.5413223140495868,0.03135179332090292,2.3634248153143624
B2_STRONG_REG,lgbm_strong_reg,2023,242,0.13502032530671332,0.15140604469142938,0.18669207179609631,0.7232247411886966,0.756198347107438,0.08156391656704358,11.25073661396109
B2_STRONG_REG,lgbm_strong_reg,2024,242,0.09640787821762198,0.1338553716416358,0.2928635078089563,0.32919047831835624,0.6735537190082644,0.05610473535421867,5.121002029460962
B2_STRONG_REG,lgbm_strong_reg,2025,222,-0.020699668555304005,-0.09321311425834929,0.2855641126741846,-0.0724869394878108,0.4099099099099099,-0.050033911847145236,-1.0800310736181247
B3_EARLY_STOP_REG,lgbm_early_stop,2020,243,0.01962732562890688,0.009655014520543067,0.11241587614081748,0.17459567369577547,0.5432098765432098,-0.014691033316422573,2.721677198605201
B3_EARLY_STOP_REG,lgbm_early_stop,2021,243,0.03237926895684325,0.024454178844319933,0.12155061210334747,0.2663850752912131,0.5843621399176955,0.013712367366625363,4.152532363041976
B3_EARLY_STOP_REG,lgbm_early_stop,2022,242,0.004342415611747487,-0.0027934314769844787,0.10027065082722292,0.04330694551120382,0.49173553719008267,0.02070901249975699,0.6736979665558678
B3_EARLY_STOP_REG,lgbm_early_stop,2023,242,0.13446985404623343,0.15352992764565482,0.18807738993064874,0.7149708643650232,0.7603305785123967,0.07899099856483194,11.122336423952934
B3_EARLY_STOP_REG,lgbm_early_stop,2024,242,0.09876149913426861,0.14235472687204914,0.30572953638198075,0.32303551793855884,0.6735537190082644,0.061559161928604306,5.025253316566198
B3_EARLY_STOP_REG,lgbm_early_stop,2025,222,-0.02278201231278731,-0.09510599758742863,0.2872141756859029,-0.07932064027961382,0.4099099099099099,-0.0494995687374059,-1.1818509222019808
C1_FULL61_REG,lgbm_full61,2020,243,0.04004541802057891,0.03335631610547099,0.13762697715984631,0.2909707009990368,0.6337448559670782,0.0001304658433272638,4.5357843387983765
C1_FULL61_REG,lgbm_full61,2021,243,0.020583370617621513,0.010544725591670587,0.11590704701109758,0.17758515248560122,0.5267489711934157,-0.007008646418900275,2.7682785609743505
C1_FULL61_REG,lgbm_full61,2022,242,0.01964888724188652,0.02733618270131026,0.11515114978678544,0.17063561482684733,0.6157024793388429,0.02048529651457052,2.6544672078319898
C1_FULL61_REG,lgbm_full61,2023,242,0.12127059290996535,0.13368003315893184,0.16804402335024693,0.7216596609163913,0.768595041322314,0.06760819426492073,11.226389678740825
C1_FULL61_REG,lgbm_full61,2024,242,0.09929015497985107,0.14653446218575894,0.2772245069899022,0.35815792787564654,0.6942148760330579,0.06340696323883084,5.5716297898050255
C1_FULL61_REG,lgbm_full61,2025,222,-0.024299252913277506,-0.09751541169846034,0.2887383080057573,-0.08415666449355584,0.4144144144144144,-0.04951871508622731,-1.2539060601445249
C2_STABLE_CORE_REG,lgbm_stable_core,2020,243,-0.007085938052576427,-0.014432779339530617,0.15145959411189155,-0.04678434597772429,0.4691358024691358,-0.04186866416115398,-0.729295778090692
