experiment_id,score,quantile,mean_return,monotonic_correlation,q5_minus_q1,adjacent_consistency
A_GEN2_BASELINE,gen2_baseline,1,0.001915238402697659,0.39999999999999997,0.0028987351689513385,0.5
A_GEN2_BASELINE,gen2_baseline,2,0.007410366759303883,0.39999999999999997,0.0028987351689513385,0.5
A_GEN2_BASELINE,gen2_baseline,3,0.007678089830245781,0.39999999999999997,0.0028987351689513385,0.5
A_GEN2_BASELINE,gen2_baseline,4,0.005148863868366947,0.39999999999999997,0.0028987351689513385,0.5
A_GEN2_BASELINE,gen2_baseline,5,0.004813973571648997,0.39999999999999997,0.0028987351689513385,0.5
B1_SHALLOW_REG,lgbm_shallow,1,0.002798250383185013,0.19999999999999998,0.001250020677681592,0.25
B1_SHALLOW_REG,lgbm_shallow,2,0.008001515259949177,0.19999999999999998,0.001250020677681592,0.25
B1_SHALLOW_REG,lgbm_shallow,3,0.007228957068716067,0.19999999999999998,0.001250020677681592,0.25
B1_SHALLOW_REG,lgbm_shallow,4,0.004879006332985877,0.19999999999999998,0.001250020677681592,0.25
B1_SHALLOW_REG,lgbm_shallow,5,0.004048271060866605,0.19999999999999998,0.001250020677681592,0.25
B2_STRONG_REG,lgbm_strong_reg,1,0.0039589468164892725,0.19999999999999998,0.0004015608656857284,0.25
B2_STRONG_REG,lgbm_strong_reg,2,0.0072428609532898,0.19999999999999998,0.0004015608656857284,0.25
B2_STRONG_REG,lgbm_strong_reg,3,0.006852821882341581,0.19999999999999998,0.0004015608656857284,0.25
B2_STRONG_REG,lgbm_strong_reg,4,0.004521057326139832,0.19999999999999998,0.0004015608656857284,0.25
B2_STRONG_REG,lgbm_strong_reg,5,0.004360507682175001,0.19999999999999998,0.0004015608656857284,0.25
B3_EARLY_STOP_REG,lgbm_early_stop,1,0.003734177664898554,0.39999999999999997,-0.00035955004130788174,0.5
B3_EARLY_STOP_REG,lgbm_early_stop,2,0.007307887277553324,0.39999999999999997,-0.00035955004130788174,0.5
B3_EARLY_STOP_REG,lgbm_early_stop,3,0.005358377719059399,0.39999999999999997,-0.00035955004130788174,0.5
B3_EARLY_STOP_REG,lgbm_early_stop,4,0.0071680063908294645,0.39999999999999997,-0.00035955004130788174,0.5
B3_EARLY_STOP_REG,lgbm_early_stop,5,0.0033746276235906724,0.39999999999999997,-0.00035955004130788174,0.5
C1_FULL61_REG,lgbm_full61,1,0.0026012055815332205,0.19999999999999998,0.0008005245489737731,0.25
C1_FULL61_REG,lgbm_full61,2,0.00937941485322389,0.19999999999999998,0.0008005245489737731,0.25
C1_FULL61_REG,lgbm_full61,3,0.005865084488475962,0.19999999999999998,0.0008005245489737731,0.25
C1_FULL61_REG,lgbm_full61,4,0.005719359798595427,0.19999999999999998,0.0008005245489737731,0.25
C1_FULL61_REG,lgbm_full61,5,0.0034017301305069936,0.19999999999999998,0.0008005245489737731,0.25
C2_STABLE_CORE_REG,lgbm_stable_core,1,0.003128166933672861,0.19999999999999998,0.0028686058035555908,0.5
C2_STABLE_CORE_REG,lgbm_stable_core,2,0.007032489961907765,0.19999999999999998,0.0028686058035555908,0.5
C2_STABLE_CORE_REG,lgbm_stable_core,3,0.005698891137121474,0.19999999999999998,0.0028686058035555908,0.5
C2_STABLE_CORE_REG,lgbm_stable_core,4,0.005073237006879808,0.19999999999999998,0.0028686058035555908,0.5
C2_STABLE_CORE_REG,lgbm_stable_core,5,0.005996772737228452,0.19999999999999998,0.0028686058035555908,0.5
C3_DE_REDUNDANT_REG,lgbm_dedup,1,0.0027995304645000176,0.19999999999999998,0.0007738606323445122,0.25
C3_DE_REDUNDANT_REG,lgbm_dedup,2,0.008703055193920936,0.19999999999999998,0.0007738606323445122,0.25
C3_DE_REDUNDANT_REG,lgbm_dedup,3,0.006187637035530868,0.19999999999999998,0.0007738606323445122,0.25
C3_DE_REDUNDANT_REG,lgbm_dedup,4,0.005701830607376417,0.19999999999999998,0.0007738606323445122,0.25
C3_DE_REDUNDANT_REG,lgbm_dedup,5,0.0035733910968445298,0.19999999999999998,0.0007738606323445122,0.25
C4_REMOVE_DEAD_REG,lgbm_dead_removed,1,0.0038854823195784544,0.19999999999999998,-0.00045378187091758403,0.25
C4_REMOVE_DEAD_REG,lgbm_dead_removed,2,0.008019276930347381,0.19999999999999998,-0.00045378187091758403,0.25
C4_REMOVE_DEAD_REG,lgbm_dead_removed,3,0.005882212975645928,0.19999999999999998,-0.00045378187091758403,0.25
C4_REMOVE_DEAD_REG,lgbm_dead_removed,4,0.005732696978261925,0.19999999999999998,-0.00045378187091758403,0.25
C4_REMOVE_DEAD_REG,lgbm_dead_removed,5,0.0034317004486608704,0.19999999999999998,-0.00045378187091758403,0.25
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,1,0.003720620716775404,0.19999999999999998,0.0017793668289407235,0.5
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,2,0.0072026571433827635,0.19999999999999998,0.0017793668289407235,0.5
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,3,0.005587539970778399,0.19999999999999998,0.0017793668289407235,0.5
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,4,0.004914696798939591,0.19999999999999998,0.0017793668289407235,0.5
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,5,0.005499987545716127,0.19999999999999998,0.0017793668289407235,0.5
F_REGIME_INTERACTIONS,lgbm_regime_interactions,1,0.003159983792297654,0.39999999999999997,0.002810246297586191,0.75
F_REGIME_INTERACTIONS,lgbm_regime_interactions,2,0.005913107668987418,0.39999999999999997,0.002810246297586191,0.75
F_REGIME_INTERACTIONS,lgbm_regime_interactions,3,0.006148727758437455,0.39999999999999997,0.002810246297586191,0.75
F_REGIME_INTERACTIONS,lgbm_regime_interactions,4,0.00573950942736349,0.39999999999999997,0.002810246297586191,0.75
F_REGIME_INTERACTIONS,lgbm_regime_interactions,5,0.005970230089883845,0.39999999999999997,0.002810246297586191,0.75
G1_RIDGE_GEN2,ridge_gen2,1,0.002947839557034615,0.39999999999999997,0.0016821003742842704,0.5
G1_RIDGE_GEN2,ridge_gen2,2,0.006921373937328914,0.39999999999999997,0.0016821003742842704,0.5
G1_RIDGE_GEN2,ridge_gen2,3,0.005767208354127249,0.39999999999999997,0.0016821003742842704,0.5
G1_RIDGE_GEN2,ridge_gen2,4,0.00668287253801097,0.39999999999999997,0.0016821003742842704,0.5
G1_RIDGE_GEN2,ridge_gen2,5,0.004629939931318885,0.39999999999999997,0.0016821003742842704,0.5
G2_RIDGE_STABLE_CORE,ridge_stable_core,1,0.004329314442594126,1.0,0.0015710442549264746,0.75
G2_RIDGE_STABLE_CORE,ridge_stable_core,2,0.004896564405415464,1.0,0.0015710442549264746,0.75
G2_RIDGE_STABLE_CORE,ridge_stable_core,3,0.005194264553429609,1.0,0.0015710442549264746,0.75
G2_RIDGE_STABLE_CORE,ridge_stable_core,4,0.006597439097726871,1.0,0.0015710442549264746,0.75
G2_RIDGE_STABLE_CORE,ridge_stable_core,5,0.005900358697520601,1.0,0.0015710442549264746,0.75
H1_ENSEMBLE_50_50,ensemble_50_50,1,0.001778302161863633,0.19999999999999998,0.002552954896049809,0.25
H1_ENSEMBLE_50_50,ensemble_50_50,2,0.008061328630521562,0.19999999999999998,0.002552954896049809,0.25
H1_ENSEMBLE_50_50,ensemble_50_50,3,0.0068612959339333715,0.19999999999999998,0.002552954896049809,0.25
H1_ENSEMBLE_50_50,ensemble_50_50,4,0.005933938328435171,0.19999999999999998,0.002552954896049809,0.25
H1_ENSEMBLE_50_50,ensemble_50_50,5,0.004331257057913442,0.19999999999999998,0.002552954896049809,0.25
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,1,0.0017986219785664384,0.19999999999999998,0.0025844925695168355,0.25
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,2,0.007676780939619243,0.19999999999999998,0.0025844925695168355,0.25
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,3,0.007337580435762438,0.19999999999999998,0.0025844925695168355,0.25
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,4,0.005772292370772688,0.19999999999999998,0.0025844925695168355,0.25
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,5,0.004383114548083274,0.19999999999999998,0.0025844925695168355,0.25
H3_ENSEMBLE_REGIME,ensemble_regime,1,0.0016236912416320896,0.19999999999999998,0.002761204264204135,0.25
H3_ENSEMBLE_REGIME,ensemble_regime,2,0.007926515467539025,0.19999999999999998,0.002761204264204135,0.25
H3_ENSEMBLE_REGIME,ensemble_regime,3,0.007092799287998318,0.19999999999999998,0.002761204264204135,0.25
H3_ENSEMBLE_REGIME,ensemble_regime,4,0.005941445853975893,0.19999999999999998,0.002761204264204135,0.25
H3_ENSEMBLE_REGIME,ensemble_regime,5,0.004384895505836224,0.19999999999999998,0.002761204264204135,0.25
I_RESIDUALIZED_SCORE,residualized_shallow,1,0.0025643962813215434,0.39999999999999997,0.0035063046778836494,0.5
I_RESIDUALIZED_SCORE,residualized_shallow,2,0.0062977943616950305,0.39999999999999997,0.0035063046778836494,0.5
I_RESIDUALIZED_SCORE,residualized_shallow,3,0.005827554224800009,0.39999999999999997,0.0035063046778836494,0.5
I_RESIDUALIZED_SCORE,residualized_shallow,4,0.00618942302425515,0.39999999999999997,0.0035063046778836494,0.5
I_RESIDUALIZED_SCORE,residualized_shallow,5,0.006070700959205193,0.39999999999999997,0.0035063046778836494,0.5
