experiment_id,score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top20,20,0,0.42521578691104644,0.42521578691104644,0.14808373928257468,0.5968929103428651
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top20,20,10,0.42521578691104644,0.3082093804241304,0.031077332795658608,0.5968929103428651
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top20,20,20,0.42521578691104644,0.2006772125032057,-0.07645483512526607,0.5968929103428651
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top20,20,30,0.42521578691104644,0.10186280180090934,-0.17526924582756243,0.5968929103428651
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top20,20,50,0.42521578691104644,-0.07234554356735601,-0.3494775911958278,0.5968929103428651
B1_SHALLOW_REG,lgbm_shallow,lgbm_shallow_sector_top20,20,0,0.38357743586772086,0.38357743586772086,0.1064453882392491,0.5734879474461572
B1_SHALLOW_REG,lgbm_shallow,lgbm_shallow_sector_top20,20,10,0.38357743586772086,0.2741331067737347,-0.0029989408547370644,0.5734879474461572
B1_SHALLOW_REG,lgbm_shallow,lgbm_shallow_sector_top20,20,20,0.38357743586772086,0.17322757368413688,-0.10390447394433489,0.5734879474461572
B1_SHALLOW_REG,lgbm_shallow,lgbm_shallow_sector_top20,20,30,0.38357743586772086,0.08020389679677042,-0.19692815083170134,0.5734879474461572
B1_SHALLOW_REG,lgbm_shallow,lgbm_shallow_sector_top20,20,50,0.38357743586772086,-0.08458022395151221,-0.361712271579984,0.5734879474461572
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top20,20,0,0.4749174507692595,0.4749174507692595,0.19778540314078774,0.549069184798104
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top20,20,10,0.4749174507692595,0.3631154534325871,0.08598340580411534,0.549069184798104
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top20,20,20,0.4749174507692595,0.25967168527933815,-0.017460362349133618,0.549069184798104
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top20,20,30,0.4749174507692595,0.16397001264834943,-0.11316203498012234,0.549069184798104
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top20,20,50,0.4749174507692595,-0.00645090951309546,-0.2835829571415672,0.549069184798104
B3_EARLY_STOP_REG,lgbm_early_stop,lgbm_early_stop_sector_top20,20,0,0.4520238654944737,0.4520238654944737,0.17489181786600194,0.5345299391835469
B3_EARLY_STOP_REG,lgbm_early_stop,lgbm_early_stop_sector_top20,20,10,0.4520238654944737,0.3447930611820662,0.06766101355359444,0.5345299391835469
B3_EARLY_STOP_REG,lgbm_early_stop,lgbm_early_stop_sector_top20,20,20,0.4520238654944737,0.2453696018323277,-0.03176244579614407,0.5345299391835469
B3_EARLY_STOP_REG,lgbm_early_stop,lgbm_early_stop_sector_top20,20,30,0.4520238654944737,0.1531931660061161,-0.12393888162235567,0.5345299391835469
B3_EARLY_STOP_REG,lgbm_early_stop,lgbm_early_stop_sector_top20,20,50,0.4520238654944737,-0.011464529589459649,-0.2885965772179314,0.5345299391835469
C1_FULL61_REG,lgbm_full61,lgbm_full61_sector_top20,20,0,0.06011155893120246,0.06011155893120246,-0.2170204886972693,0.5193502314912437
C1_FULL61_REG,lgbm_full61,lgbm_full61_sector_top20,20,10,0.06011155893120246,-0.016383193430551946,-0.2935152410590237,0.5193502314912437
C1_FULL61_REG,lgbm_full61,lgbm_full61_sector_top20,20,20,0.06011155893120246,-0.08743459869362469,-0.36456664632209645,0.5193502314912437
C1_FULL61_REG,lgbm_full61,lgbm_full61_sector_top20,20,30,0.06011155893120246,-0.1534245735287879,-0.4305566211572597,0.5193502314912437
C1_FULL61_REG,lgbm_full61,lgbm_full61_sector_top20,20,50,0.06011155893120246,-0.27161762416317614,-0.5487496717916479,0.5193502314912437
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top20,20,0,0.49104093188548936,0.49104093188548936,0.2139088842570176,0.596091883851882
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top20,20,10,0.49104093188548936,0.3688781114727362,0.09174606384426442,0.596091883851882
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top20,20,20,0.49104093188548936,0.2565906192473171,-0.02054142838115469,0.596091883851882
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top20,20,30,0.49104093188548936,0.1533909732387051,-0.12374107438976667,0.596091883851882
