experiment_id,score,dimension,bucket,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
A_GEN2_BASELINE,gen2_baseline,market_regime,neutral,200979,804,0.06648011498255921,0.04976332273486614,0.17264059710899615,0.3850781108025662,0.6156716417910447,0.039870512775055475,10.918848920151605
A_GEN2_BASELINE,gen2_baseline,market_regime,risk_off,82185,333,0.01871841767637928,0.009249883948071046,0.176857525241466,0.10583896642691776,0.5195195195195195,0.0012189114197912341,1.9313798976814398
A_GEN2_BASELINE,gen2_baseline,market_regime,risk_on,74155,297,0.03986497352674974,0.04943005812472765,0.23058345707907377,0.17288739631082417,0.6127946127946128,0.013022329033784094,2.979487436713131
A_GEN2_BASELINE,gen2_baseline,sector,consumer,24685,197,0.012512089195521459,0.025974025974025972,0.3401692382091032,0.03678195377510954,0.5380710659898477,0.04421713547611353,0.5162593227558375
A_GEN2_BASELINE,gen2_baseline,sector,cyclical_manufacturing,125839,1434,0.06771872397644958,0.06209216938177334,0.20618593467744722,0.32843522562480937,0.6276150627615062,0.05481275485576279,12.437248333790262
A_GEN2_BASELINE,gen2_baseline,sector,defensive,18436,0,,,,,,,
A_GEN2_BASELINE,gen2_baseline,sector,finance_real_estate,63024,1434,0.0905196819210196,0.09723820636140279,0.3187910064677928,0.2839467867176634,0.6262203626220363,0.08070220965524266,10.752551567119705
A_GEN2_BASELINE,gen2_baseline,sector,healthcare,33513,860,0.048086881817935585,0.053272311212814644,0.22229377114983132,0.21632131916788563,0.5976744186046512,0.04808240520749172,6.343786352709197
A_GEN2_BASELINE,gen2_baseline,sector,other,21075,382,0.00116092129921339,-0.022047397047397048,0.2164829022161494,0.005362646598548726,0.45287958115183247,-0.026340216020300414,0.10481196402431268
A_GEN2_BASELINE,gen2_baseline,sector,technology,70747,1434,0.00748895017434539,0.0008628323706113188,0.22514894304333707,0.03326220444616479,0.5034867503486751,-0.007017155595433471,1.2595795595288446
A_GEN2_BASELINE,gen2_baseline,market_cap,small,119106,1434,0.07509064401894498,0.06820573947928901,0.19686240817794695,0.3814371911526623,0.6534170153417015,0.04113995952613508,14.444336965025995
A_GEN2_BASELINE,gen2_baseline,market_cap,mid,118636,1434,0.058062983336222035,0.059086606080276965,0.20663590297893558,0.28099174683182215,0.6234309623430963,0.04521720729928196,10.640649548003012
A_GEN2_BASELINE,gen2_baseline,market_cap,large,119577,1434,0.023479167986722484,0.015143963053247248,0.22141583994474723,0.10604104924282538,0.5244072524407253,-0.002863227119607351,4.015582861124982
A_GEN2_BASELINE,gen2_baseline,volatility,low,119106,1434,0.009643700912406203,0.004204159333057142,0.1736792572805071,0.05552592211302924,0.5111576011157601,-0.004882316651574124,2.102666304957622
A_GEN2_BASELINE,gen2_baseline,volatility,mid,118636,1434,0.01837617591549421,0.01120987771095457,0.1639863996134987,0.11205914611702687,0.5278940027894002,0.014618505417771727,4.243477311785262
A_GEN2_BASELINE,gen2_baseline,volatility,high,119577,1434,0.05983982053115376,0.05851578357319864,0.1650613467047678,0.3625307906773869,0.6136680613668062,0.04576356220362271,13.728385753149263
B1_SHALLOW_REG,lgbm_shallow,market_regime,neutral,200979,804,0.06601306750659168,0.046355479999968564,0.1846303900799875,0.3575417214792907,0.6144278606965174,0.03658868952720593,10.13805752642454
B1_SHALLOW_REG,lgbm_shallow,market_regime,risk_off,82185,333,0.019264229799984038,0.011593298407229,0.20608488477321285,0.09347716025454005,0.5225225225225225,0.003935092058406324,1.7057981035049945
B1_SHALLOW_REG,lgbm_shallow,market_regime,risk_on,74155,297,0.03195284897854647,0.03952078309650717,0.2471377545580036,0.12929165370015164,0.5824915824915825,0.001151408082410261,2.228172013065064
B1_SHALLOW_REG,lgbm_shallow,sector,consumer,24685,197,0.01320542392605122,0.007792207792207793,0.32497216254659284,0.04063555420430171,0.5177664974619289,0.05148470154427596,0.5703471822510182
B1_SHALLOW_REG,lgbm_shallow,sector,cyclical_manufacturing,125839,1434,0.06533122549057647,0.061671854927104086,0.21711158969123429,0.3009108154174884,0.6192468619246861,0.046903389787808135,11.394948670779621
B1_SHALLOW_REG,lgbm_shallow,sector,defensive,18436,0,,,,,,,
B1_SHALLOW_REG,lgbm_shallow,sector,finance_real_estate,63024,1434,0.08846560476550813,0.10047158988335458,0.3339110687435477,0.2649376227580284,0.6276150627615062,0.07434776584364179,10.032708887839638
B1_SHALLOW_REG,lgbm_shallow,sector,healthcare,33513,860,0.0452498126164343,0.046324976469581586,0.20719756480524174,0.21838969323296584,0.5883720930232558,0.037662839118002445,6.404442987093763
B1_SHALLOW_REG,lgbm_shallow,sector,other,21075,382,-0.022132477222693986,-0.03940886699507389,0.21744998345534258,-0.10178192185164872,0.4397905759162304,-0.04696550949094405,-1.9893093709228284
B1_SHALLOW_REG,lgbm_shallow,sector,technology,70747,1434,0.010018607294553915,0.008624769236559722,0.23126311823092102,0.0433212497141465,0.5125523012552301,0.0022062223408363083,1.6404974216757116
B1_SHALLOW_REG,lgbm_shallow,market_cap,small,119106,1434,0.07199722474682393,0.06207388824540323,0.21236456580722565,0.3390265436851624,0.6359832635983264,0.03513154625254985,12.838322404478548
B1_SHALLOW_REG,lgbm_shallow,market_cap,mid,118636,1434,0.058088741519507485,0.060180740389942644,0.2228786261711369,0.2606294848340646,0.6157601115760112,0.04117885490693734,9.869567491801424
B1_SHALLOW_REG,lgbm_shallow,market_cap,large,119577,1434,0.02465714393677792,0.016566376097920353,0.23592363694245022,0.10451324104838479,0.5271966527196653,-0.006699515090808577,3.9577275263797254
