experiment_id,score,policy,top_k,buffer_exit_rank,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top20,20,,72,0.42521578691104644,0.30206596805487207,0.09027245115663035,0.09027245115663035,0.12314981885617438,0.27713204762847177,0.14808373928257468,0.024933920426400302,0.047275087977527885,0.36032341941381474,0.7556684993591776,-0.22520411360749037,0.5968929103428651,7.520850670320099,0.0012537840438420881,0.3461892573452532,0.4088915138190585,0.42003768015326176,0.35560746080137867,0.15544875910359565,0.007434485470787033,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
B1_SHALLOW_REG,lgbm_shallow,lgbm_shallow_sector_top20,20,,72,0.38357743586772086,0.2685870300717972,0.0867327358378184,0.0867327358378184,0.11499040579592368,0.27713204762847177,0.1064453882392491,-0.008545017556674583,0.042511961631248596,0.33444127705670823,0.6357019554558597,-0.21510684012486425,0.5734879474461572,7.22594813782158,0.001204621331080811,0.3463991271665337,0.40838826645502235,0.4357156929663865,0.35995228081028885,0.1745100944741393,0.004953052423330755,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top20,20,,72,0.4749174507692595,0.3574651729742786,0.08303969566538966,0.08303969566538966,0.11745227779498091,0.27713204762847177,0.19778540314078774,0.08033312534580683,0.05493942214863479,0.4139094229527472,0.7970329717502026,-0.1905655930357485,0.549069184798104,6.9182717284561095,0.0011533291064637452,0.34576943194988236,0.40562773042109707,0.4329271519821545,0.358211203126954,0.18784032582875826,0.004894196059605939,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
B3_EARLY_STOP_REG,lgbm_early_stop,lgbm_early_stop_sector_top20,20,,72,0.4520238654944737,0.33925740066059507,0.08084081200755416,0.08084081200755416,0.11276646483387864,0.27713204762847177,0.17489181786600194,0.0621253530321233,0.05244936305362802,0.40703784898910006,0.7354915818066753,-0.19433436663730042,0.5345299391835469,6.7350772337126905,0.0011227890556604744,0.34571077208619566,0.4060679013640372,0.42357535923708844,0.3607722046801821,0.200886258728038,0.009462492806707657,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
C1_FULL61_REG,lgbm_full61,lgbm_full61_sector_top20,20,,72,0.06011155893120246,-0.020262113357122802,0.07854506626804303,0.07854506626804303,0.08037367228832526,0.27713204762847177,-0.2170204886972693,-0.29739416098559457,-0.0035758772661685923,0.04084457156987589,0.07394190144520575,-0.31123654280964974,0.5193502314912437,6.543812916789671,0.0010909036981672643,0.34571342623224777,0.40720023393991406,0.4163144407791415,0.37890993339129664,0.20532587352806933,0.0026628304583736647,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top20,20,,72,0.49104093188548936,0.3626371076431749,0.09015130566482077,0.09015130566482077,0.12840382424231445,0.27713204762847177,0.2139088842570176,0.08550506001470315,0.055641699076894646,0.45923238540132016,0.9119615612022095,-0.19961445429039903,0.596091883851882,7.510757736533714,0.001252101467566955,0.34572283645870994,0.40674738825460943,0.4141328858407872,0.33242868148542,0.09192226262504627,0.0008621958162540543,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
C3_DE_REDUNDANT_REG,lgbm_dedup,lgbm_dedup_sector_top20,20,,72,0.3131378362237165,0.21213543223217335,0.07966740744611414,0.07966740744611414,0.10100240399154314,0.27713204762847177,0.036005788595244725,-0.06499661539629842,0.03424028623557618,0.296940273220308,0.5479172510785983,-0.24342953209714147,0.5267712671577555,6.637317966187719,0.0011064917700849186,0.3459633867963513,0.4097514893711444,0.41573730773866385,0.3775391557541545,0.2041627204303114,0.00435974718992172,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
C4_REMOVE_DEAD_REG,lgbm_dead_removed,lgbm_dead_removed_sector_top20,20,,72,0.19804389351747598,0.10775415752964834,0.07802343850711568,0.07802343850711568,0.09028973598782764,0.27713204762847177,-0.07908815411099579,-0.16937789009882342,0.018069889738203226,0.18948940071535406,0.36750779600796557,-0.31151615446114633,0.5159011749172547,6.50035480395741,0.0010836588681543845,0.3458412282030646,0.4080542830680406,0.41481701251191205,0.3845088666186135,0.2106405285370631,0.0011554312526814282,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,lgbm_new_features_sector_top20,20,,72,0.2350271202508556,0.12389888919831016,0.09441118775413576,0.09441118775413576,0.11112823105254543,0.27713204762847177,-0.042104927377616175,-0.1532331584301616,0.02065100454650759,0.21711820459257716,0.3923894814298944,-0.20660392886470313,0.6242586637380769,7.865659163099769,0.0013112664965852189,0.3462637515410878,0.40841850205654484,0.4186452975191401,0.3328506427249136,0.1046765488971713,-0.0011276065122311969,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
F_REGIME_INTERACTIONS,lgbm_regime_interactions,lgbm_regime_interactions_sector_top20,20,,72,0.426838299220593,0.2962740844247258,0.09590879564455787,0.09590879564455787,0.13056421479586722,0.27713204762847177,0.14970625159212125,0.019142036796254036,0.04645834769856383,0.37402970358673043,0.7671161275252887,-0.19707925409339044,0.6341610016246477,7.990428620470561,0.001332066606174415,0.34568143654492794,0.40670042765332176,0.41327481790603204,0.3418368058540024,0.11657148147098104,0.001211264839953326,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
