experiment_id,score,family,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat,train_rank_ic,train_oos_gap,worst_year_rank_ic
A_GEN2_BASELINE,gen2_baseline,baseline,1434,0.04987666852835187,0.04172509679210889,0.1879673650065532,0.26534749011677106,0.592747559274756,0.02533432461434377,10.048229823862561,0.169365856097512,0.11948918756916013,0.001248770082136381
B1_SHALLOW_REG,lgbm_shallow,regularization,1434,0.04810285282100607,0.03948608623913393,0.2049023403585696,0.23475989945663045,0.5864714086471409,0.021666429732077205,8.889933053932424,0.12234421381016625,0.07424136098916018,-0.017460042296915772
B2_STRONG_REG,lgbm_strong_reg,regularization,1434,0.04730743778590658,0.037018122603001406,0.2084239664237968,0.22697695758132955,0.5822873082287309,0.018610918560229353,8.595207113112815,0.11662900375541708,0.0693215659695105,-0.020699668555304005
B3_EARLY_STOP_REG,lgbm_early_stop,regularization,1434,0.045378554950225164,0.030475946782760985,0.20899243817200874,0.21713012847324592,0.5794979079497908,0.019384937084273312,8.222325493351565,0.10307765867921144,0.057699103728986276,-0.02278201231278731
C1_FULL61_REG,lgbm_full61,feature_selection,1434,0.047049576843938075,0.04591296937200567,0.2016505035423289,0.23332238708772574,0.6115760111576011,0.016735395567243547,8.835497058886672,0.13722811177252603,0.09017853492858796,-0.024299252913277506
C2_STABLE_CORE_REG,lgbm_stable_core,feature_selection,1434,0.06022492406760787,0.06047234401071972,0.21120189866841918,0.2851533269696559,0.6199442119944212,0.023408914766930227,10.798241065589906,0.10951820533035496,0.04929328126274709,-0.01812815376689829
C3_DE_REDUNDANT_REG,lgbm_dedup,feature_selection,1434,0.049074001950106236,0.049509521958802954,0.20216767163065122,0.2427391162705857,0.6157601115760112,0.01790926315280186,9.192091571903585,0.13685977085150816,0.08778576890140193,-0.023254090694187744
C4_REMOVE_DEAD_REG,lgbm_dead_removed,feature_selection,1434,0.04786851951240824,0.04225857846585303,0.2019324243490891,0.23705217062939785,0.6122733612273361,0.017082557871629885,8.976737219867612,0.1300916845228412,0.08222316501043296,-0.015690735060493715
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,new_features,1434,0.05661688500601766,0.05618917129824727,0.212869547587794,0.26596986580556853,0.6171548117154811,0.020980739882089403,10.071798066226828,0.11225761571937805,0.05564073071336039,-0.024892576119506557
F_REGIME_INTERACTIONS,lgbm_regime_interactions,regime_conditioning,1434,0.06124138885091881,0.06300271180196294,0.20981617324324284,0.2918811638982702,0.6297071129707112,0.025102947339699238,11.0530120892255,0.11755919965692053,0.05631781080600173,-0.026737132677708
G1_RIDGE_GEN2,ridge_gen2,linear,1434,0.04828066326890036,0.037401916936376796,0.20012182273391005,0.24125636379544801,0.5801952580195258,0.021800238680511248,9.135942415808202,0.096165654726153,0.04788499145725264,-0.005421840804356287
G2_RIDGE_STABLE_CORE,ridge_stable_core,linear,1434,0.06410218716264009,0.07094286103415168,0.22334969358241177,0.287003694227087,0.6171548117154811,0.028601795456500042,10.868311129011405,0.08552597993981714,0.021423792777177056,-0.016105259928737296
H1_ENSEMBLE_50_50,ensemble_50_50,ensemble,1434,0.05102686222567364,0.037409657455744816,0.1996001669014042,0.2556453885676318,0.592747559274756,0.022278134403818744,9.680828775157325,,,-0.0016067503171033816
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,ensemble,1434,0.05103360125026013,0.040066784393511315,0.1999103227376671,0.255282471417092,0.5941422594142259,0.022468620266218264,9.667085758654547,,,-0.0015900332559320566
H3_ENSEMBLE_REGIME,ensemble_regime,ensemble,1434,0.050945698506264354,0.041102435148622295,0.19980844114742363,0.25497270392433197,0.594839609483961,0.022413653746038376,9.655355423621627,,,-0.0007625781872421495
I_RESIDUALIZED_SCORE,residualized_shallow,residualization,1434,0.014980830832762403,0.019890000132763742,0.10150563467462795,0.14758619933546377,0.5815899581589958,0.013461435519860272,5.588822600509691,,,-0.008496419551494671
